SVC_CD|MODIFIER_1|FEE|AGE_UNIT|FROM_AGE|THROUGH_AGE|PLACE_OF_SERVICE_CODE
A9513||279.48||||
A9542||3490.46||||
A9543||61774.82||||
A9590||324.85||||
A9592||929.46||||
A9595||551.96||||
A9596||968.2||||
A9602||498.87||||
A9604||16287.34||||
A9606||159.32||||
A9607||227.59||||
A9800||800.0||||
C9254||0.32||||
C9460||19.09||||
J0121||3.75||||
J0122||1.11||||
J0132||0.77||||
J0136||0.05||||
J0137||0.07||||
J0153||0.56||||
J0174||1.34||||
J0178||841.13||||
J0179||325.68||||
J0180||218.28||||
J0202||2347.58||||
J0217||420.0||||
J0218||376.58||||
J0219||76.0||||
J0221||197.3||||
J0222||99.2||||
J0256||4.91||||
J0257||5.4||||
J0283||2.55||||
J0285||38.57||||
J0289||27.68||||
J0456||2.41||||
J0480||4487.0||||
J0491||17.14||||
J0565||39.87||||
J0596||33.4||||
J0597||64.43||||
J0606||3.93||||
J0636||0.8||||
J0641||0.05||||
J0642||1.71||||
J0687||1.22||||
J0688||1.08||||
J0689||1.24||||
J0712||3.86||||
J0714||95.44||||
J0740||581.06||||
J0742||2.45||||
J0775||68.97||||
J0791||127.35||||
J0840||1979.87||||
J0841||1047.29||||
J0850||1808.22||||
J0872||0.1||||
J0873||0.04||||
J0874||0.07||||
J0875||15.12||||
J0877||0.06||||
J0878||0.1||||
J0883||2.51||||
J0884||2.51||||
J0893||2.0||||
J0894||1.64||||
J1110||37.12||||
J1165||0.64||||
J1201||14.97||||
J1250||9.26||||
J1265||0.82||||
J1270||0.84||||
J1300||225.7||||
J1301||21.83||||
J1303||221.75||||
J1322||283.22||||
J1364||77.85||||
J1437||19.94||||
J1439||1.09||||
J1448||5.29||||
J1453||0.13||||
J1454||708.35||||
J1456||2.04||||
J1458||466.92||||
J1459||47.86||||
J1551||13.8||||
J1555||15.83||||
J1556||72.97||||
J1557||55.01||||
J1558||14.13||||
J1559||12.91||||
J1561||48.88||||
J1566||78.46||||
J1568||46.98||||
J1569||43.22||||
J1573||96.04||||
J1576||64.95||||
J1602||11.8||||
J1626||0.33||||
J1741||2.93||||
J1743||542.89||||
J1745||31.67||||
J1746||74.65||||
J1747||60.15||||
J1756||0.23||||
J1786||43.94||||
J1800||8.83||||
J1805||0.22||||
J1806||0.42||||
J1836||0.03||||
J1920||0.17||||
J1921||2.37||||
J1939||0.63||||
J1953||0.07||||
J2020||3.62||||
J2021||16.43||||
J2150||4.52||||
J2183||1.65||||
J2184||2.02||||
J2246||0.83||||
J2247||0.27||||
J2248||0.7||||
J2270||4.46||||
J2272||7.28||||
J2281||7.49||||
J2305||1.44||||
J2323||24.23||||
J2327||15.0||||
J2329||67.23||||
J2350||58.76||||
J2372||0.17||||
J2373||0.2||||
J2406||40.9||||
J2407||26.91||||
J2425||28.22||||
J2430||14.1||||
J2469||1.19||||
J2470||3.87||||
J2471||2.72||||
J2501||0.75||||
J2507||3391.91||||
J2508||217.09||||
J2690||187.2||||
J2700||1.13||||
J2704||0.12||||
J2710||1.01||||
J2720||2.13||||
J2724||15.03||||
J2777||35.44||||
J2778||173.38||||
J2781||149.9||||
J2786||10.23||||
J2792||30.64||||
J2805||129.74||||
J2860||151.31||||
J2916||2.18||||
J2997||88.82||||
J2998||32.99||||
J3032||18.05||||
J3060||45.0||||
J3090||1.82||||
J3095||7.13||||
J3105||6.09||||
J3241||333.4||||
J3243||0.67||||
J3247||16.92||||
J3263||37.05||||
J3285||54.55||||
J3300||23.6||||
J3304||17.49||||
J3358||12.49||||
J3370||2.58||||
J3371||5.87||||
J3372||6.4||||
J3380||21.85||||
J3385||367.84||||
J3396||11.44||||
J3397||263.7||||
J3489||6.94||||
J7030||2.61||||
J7040||1.3||||
J7042||1.13||||
J7050||0.65||||
J7060||1.8||||
J7070||3.6||||
J7120||2.43||||
J7171||0.04||||
J7177||1.42||||
J7178||1.45||||
J7318||6.55||||
J7320||5.16||||
J7321||73.12||||
J7322||17.51||||
J7323||115.57||||
J7324||131.56||||
J7325||8.88||||
J7326||522.37||||
J7327||711.54||||
J7331||10.46||||
J7332||10.49||||
J7519||0.71||||
J9000||3.65||||
J9017||11.9||||
J9022||83.94||||
J9023||92.53||||
J9027||18.04||||
J9032||48.84||||
J9033||8.36||||
J9034||13.83||||
J9035||74.16||||
J9036||8.88||||
J9039||145.36||||
J9042||230.74||||
J9043||211.76||||
J9045||3.72||||
J9047||47.18||||
J9050||280.92||||
