HCPCS_CPT_CODE|MODIFIER|FEE
11600||147.66
11601||164.35
11602||175.23
11603||189.38
11604||423.52
11606||794.41
11620||147.66
11621||164.71
11622||177.77
11623||195.18
11624||794.41
11626||1348.05
11640||152.74
11641||169.06
11642||185.03
11643||202.81
11644||794.41
11646||1348.05
11750||112.1
11755||83.08
11760||134.96
11762||195.91
11770||1348.05
11771||1348.05
11772||1348.05
11920||149.11
11921||156.73
11950||54.06
11951||68.93
11952||87.8
11954||97.23
11960||2195.34
11970||3937.76
11971||1348.05
11976||81.99
12005||240.46
12006||240.46
12007||119.75
12015||119.75
12016||240.46
12017||240.46
12018||119.75
12020||368.21
12021||240.46
12031||202.44
12032||227.84
12034||240.46
12035||240.46
12036||368.21
12037||1100.39
12041||199.17
12042||222.76
12044||368.21
12045||368.21
12046||368.21
12047||1100.39
12051||210.78
12052||224.94
12053||240.46
12054||240.46
12055||240.46
12056||240.46
12057||240.46
13100||368.21
13101||368.21
13120||368.21
13121||368.21
13131||240.46
13132||368.21
13151||368.21
13152||368.21
13160||1100.39
14000||1100.39
14001||1100.39
14020||1100.39
14021||1100.39
14040||1100.39
14041||1100.39
14060||1100.39
14061||1100.39
14301||2195.34
14350||1100.39
15002||1100.39
15004||368.21
15011||1100.39
15013||4365.58
15015||1100.39
15017||1100.39
15040||1100.39
15050||368.21
15100||1100.39
15110||1100.39
15115||1100.39
15120||2195.34
15130||1100.39
15135||2195.34
15150||1100.39
15155||2195.34
15200||1100.39
15220||1100.39
15240||1100.39
15260||1100.39
15271||1100.39
15273||2195.34
15275||99.77
15277||1100.39
15570||1100.39
15572||2195.34
15574||1100.39
15576||1100.39
15600||2195.34
15610||1100.39
15620||1100.39
15630||1100.39
15650||1100.39
15730||2195.34
15731||2195.34
15733||2195.34
15734||2195.34
15736||1100.39
15738||2195.34
15740||1100.39
15750||2195.34
15760||1100.39
15769||2195.34
15770||2195.34
15771||2195.34
15773||1100.39
15775||240.46
15776||240.46
15780||575.03
15781||366.79
15782||353.0
15783||240.46
