SVC_CD	MODIFIER_1	MODIFIER_2	MODIFIER_3	MODIFIER_4	FEE	AS_OF_DATE	AGE_UNIT	FROM_AGE	THROUGH_AGE	PLACE_OF_SERVICE_CODE
J2315					4.123					
J2323					23.88					
J2327					15.081					
J2329					69.025					
J2350					58.766					
J2353					218.371					
J2354					0.805					
J2356					18.155					
J2357					37.754					
J2358					2.917					
J2359					0.745					
J2360					13.994					
J2372					0.167					
J2373					0.139					
J2401					0.031					
J2403					0.607					
J2404					0.071					
J2405					0.09					
J2406					43.324					
J2407					28.532					
J2425					33.991					
J2426					14.733					
J2427					12.622					
J2430					12.583					
J2469					0.5903372283976085					
J2501					0.9					
J2506					19.981					
J2507					3550.048					
J2508					226.793					
J2540					0.749					
J2543					1.135					
J2545					79.385					
J2550					3.569					
J2560					30.756					
J2562					37.078					
J2597					4.95					
J2598					1.631					
J2599					1.201					
J2601					3.634					
J2675					0.894					
J2679					7.693					
J2680					9.41					
J2690					183.031					
J2700					1.065					
J2704					0.083					
J2720					1.143					
J2724					15.031					
J2760					394.625					
J2765					1.031					
J2777					35.246					
J2778					123.979					
J2779					80.46					
J2781					146.367					
J2782					108.704					
J2783					369.967					
J2785					3.811					
J2786					10.319					
J2788					24.559					
J2790					83.362					
J2791					4.894					
J2792					32.863					
J2794					10.99					
J2795					0.073					
J2798					12.189					
J2799					24.719					
J2800					6.566					
J2802					10.543					
J2805					114.387					
J2820					60.018					
J2860					155.968					
J2916					1.991					
J2919					0.268					
J2997					91.481					
J3000					28.263					
J3010					0.852					
J3032					19.323					
J3055					69.972					
J3060					41.621					
J3090					1.808					
J3095					7.396					
J3101					162.431					
J3105					2.143					
J3111					11.486					
J3121					0.053					
J3145					1.918					
J3230					30.479					
J3240					2067.908					
J3241					347.102					
J3243					0.63					
J3245					133.178					
J3246					3.622					
J3247					17.72					
J3250					50.95					
J3260					1.966					
J3262					5.966					
J3263					39.318					
J3285					55.946					
J3299					48.422					
J3301					0.898					
J3304					17.998					
J3315					481.294					
J3357					155.883					
J3358					12.759					
J3360					8.547					
J3370					1.863					
J3371					6.433					
J3372					6.379					
J3380					21.67					
J3385					374.019					
J3396					11.503					
J3401					1016.784					
J3410					12.31					
J3411					1.764					
J3415					15.779					
J3420					1.271					
J3425					0.008					
J3430					2.206					
J3465					0.974					
J3470					30.066					
J3473					0.365					
J3475					0.489					
J3480					0.103					
J3485					1.513					
J3486					7.191					
J3489					5.604					
J7030					2.504					
J7040					1.252					
J7042					1.178					
J7050					0.626					
J7060					1.799					
J7070					3.598					
J7120					2.412					
J7170					52.019					
J7171					34.571					
J7175					9.533					
J7177					1.107					
J7178					1.483					
J7179					1.851					
J7180					10.473					
J7181					17.169					
J7182					1.427					
J7183					1.283					
J7185					1.499					
J7186					1.199					
J7187					1.446					
J7188					3.229					
J7189					2.549					
J7190					1.117					
J7192					1.542					
J7193					1.341					
J7194					1.655					
J7195					1.84					
J7197					3.961					
J7198					2.363					
J7200					1.651					
J7201					3.575					
J7202					5.207					
J7203					4.394					
J7204					2.185					
J7205					2.338					
J7207					2.099					
J7208					2.446					
J7209					1.239					
J7210					1.516					
J7211					1.484					
J7212					2.349					
J7213					2.202					
J7214					4.639					
J7308					395.264					
J7311					333.233					
J7312					205.557					
J7313					493.684					
J7314					525.893					
J7318					6.702					
J7320					6.172					
J7321					73.026					
J7322					17.415					
J7323					120.682					
J7324					92.136					
J7325					9.163					
J7326					526.376					
J7327					564.654					
J7328					0.559					
J7329					6.103					
J7331					8.903					
J7332					10.094					
J7336					3.327					
J7340					235.948					
J7345					1.722					
J7351					209.889					
J7354					711.753					
J7402					11.345					
J7500					1.194					
J7502					2.199					
J7503					1.803					
J7504					4355.733					
J7507					0.176					
J7508					0.568					
J7509					0.247					
J7510					0.572					
J7511					950.264					
J7512					0.005					
J7515					0.826					
J7516					71.36					
J7517					0.152					
J7518					0.478					
J7519					0.412					
J7520					1.063					
J7525					254.666					
J7527					2.322					
J7605					0.809					
J7606					1.888					
J7608					8.147					
J7611					0.16					
J7612					0.294					
J7613					0.074					
J7614					0.085					
J7620					0.186					
J7626					1.412					
J7631					0.214					
J7639					53.593					
J7644					0.367					
J7674					1.61					
J7677					0.197					
J7682					16.003					
J7686					760.152					
J8501					2.857					
J8522					0.04					
J8530					0.836					
J8540					0.064					
J8560					76.524					
J8610					0.177					
J8655					399.872					
J8670					1.616					
J8700					0.265					
J8705					124.931					
J9000					3.32					
J9017					4.681					
J9021					54.14					
J9022					88.223					
J9023					96.948					
J9025					0.285					
J9027					8.455					
J9028					94.87					
J9029					63402.043					
J9030					2.999					
J9032					50.28					
J9033					1.802					
J9034					13.453					
J9035					73.19					
J9036					17.125					
J9039					152.507					
J9040					20.911					
J9041					2.22					
J9042					248.93					
J9043					224.09					
J9045					3.63					
J9047					51.965					
J9049					1.443					
J9050					255.32					
J9055					77.095					
J9056					28.652					
J9060					2.687					
J9061					21.558					
J9063					68.109					
J9065					11.27					
J9071					0.6998524786768591					
J9073					2.188					
J9074					4.351					
J9075					0.876					
J9100					0.791					
J9118					76.526					
J9119					28.206					
J9120					324.801					
J9130					4.174					
J9144					51.386					
J9145					65.317					
J9150					23.517					
J9153					248.41					
J9155					4.281					
J9171					0.734					
J9172					52.211					
J9173					83.883					
J9176					7.721					
J9177					36.647					
J9178					1.625					
J9179					133.317					
J9181					0.976					
J9185					168.3					
J9190					2.23					
J9196					9.337					
J9200					3989.64					
J9201					2.865					
J9202					703.06					
J9203					233.119					
J9204					243.317					
J9205					64.215					
J9206					1.9738431089122017					
J9207					136.427					
J9208					25.067					
J9209					1.58					
J9210					376.569					
J9211					46.801					
J9217					180.794					
J9218					8.913					
J9223					204.899					
J9226					45261.796					
J9227					79.347					
J9228					180.051					
J9229					2658.129					
J9245					133.694					
J9246					18.003					
J9248					773.8					
J9260					3.373					
J9261					74.755					
J9263					0.075					
J9264					13.536					
J9266					27070.534					
J9267					0.109					
J9268					2732.531					
J9269					338.89					
J9271					57.603					
J9272					240.064					
J9273					181.874					
J9274					214.756					
J9280					46.348					
J9281					311.356					
J9286					2770.911					
J9293					60.819					
J9294					2.5652763880000005					
J9295					5.731					
J9297					1.529					
J9298					193.864					
J9299					32.296					
J9301					74.827					
J9303					165.713					
J9304					52.695					
J9305					5.272					
J9306					16.19					
J9307					373.768					
J9308					72.912					
J9309					132.916					
J9311					36.576					
J9312					76.73					
J9314					7.135					
J9316					63.88					
J9317					35.438					
J9319					30.392					
J9321					55.186					
J9324					82.135					
