HCPCS	EFF_DATE	RATE2023
0273U	20230101	608.17
0274U	20230101	608.17
0275U	20230101	18.37
0276U	20230101	2448.56
0277U	20230101	608.17
0278U	20230101	608.17
0279U	20230101	11.53
0280U	20230101	17.27
0281U	20230101	17.27
0282U	20230101	720.0
0283U	20230101	18.4
0284U	20230101	17.27
0285U	20230101	0.0
0286U	20230101	134.13
0287U	20230101	3600.0
0288U	20230101	3873.0
0289U	20230101	760.0
0290U	20230101	760.0
0291U	20230101	0.0
0292U	20230101	0.0
0293U	20230101	760.0
0294U	20230101	760.0
0295U	20230401	5435.0
0296U	20230101	1755.0
0297U	20230101	0.0
0298U	20230101	2919.6
0299U	20230101	0.0
0300U	20230101	0.0
0301U	20230101	0.0
0302U	20230101	0.0
0303U	20230101	0.0
0304U	20230101	0.0
0305U	20230101	0.0
0306U	20230101	0.0
0307U	20230101	0.0
0308U	20230101	390.75
0309U	20230101	390.75
0310U	20230101	390.75
0311U	20230101	8.08
0312U	20230101	840.65
0313U	20230101	3600.0
0314U	20230101	0.0
0315U	20230101	0.0
0316U	20230101	18.66
0317U	20230101	2030.0
0318U	20230101	0.0
0319U	20230101	0.0
0320U	20230101	0.0
0321U	20230101	634.84
0322U	20230101	750.0
0323U	20230101	2126.2
0326U	20230101	0.0
0327U	20230101	795.0
0328U	20230101	114.43
0329U	20230101	0.0
0330U	20230101	416.78
0331U	20230101	0.0
0332U	20230101	0.0
0333U	20230101	0.0
0334U	20230101	2919.6
0335U	20230101	5224.6
0336U	20230101	2574.65
0337U	20230101	0.0
0338U	20230101	0.0
0339U	20230101	760.0
0340U	20230101	3920.0
0341U	20230101	0.0
0342U	20230101	897.0
0343U	20230101	760.0
0344U	20230101	0.0
0345U	20230101	1336.09
0346U	20230101	0.0
0347U	20230101	1336.09
0348U	20230101	742.27
0349U	20230101	742.27
0350U	20230101	1336.09
0351U	20230101	260.5
0352U	20230101	142.63
0353U	20230101	70.18
0354U	20230101	35.09
0355U	20230101	0.0
0356U	20230101	0.0
0357U	20230101	0.0
0358U	20230101	0.0
0359U	20230101	0.0
0360U	20230101	0.0
0361U	20230101	0.0
0362U	20230101	0.0
0363U	20230101	0.0
0364U	20230401	0.0
0365U	20230401	0.0
0366U	20230401	0.0
0367U	20230401	0.0
0369U	20230401	0.0
0370U	20230401	0.0
0371U	20230401	0.0
0372U	20230401	0.0
0373U	20230401	0.0
0374U	20230401	0.0
0375U	20230401	0.0
0376U	20230401	0.0
0377U	20230401	0.0
0378U	20230401	0.0
0379U	20230401	0.0
0380U	20230401	0.0
0381U	20230401	0.0
0382U	20230401	0.0
0383U	20230401	0.0
0384U	20230401	0.0
0385U	20230401	0.0
0386U	20230401	0.0
36415	20230101	8.57
78267	20230101	11.06
78268	20230101	94.41
80047	20230101	13.73
80047	20230101	13.73
80048	20230101	8.46
80048	20230101	8.46
80051	20230101	7.01
80051	20230101	7.01
80053	20230101	10.56
80053	20230101	10.56
80055	20230101	47.81
80061	20230101	13.39
80061	20230101	13.39
80069	20230101	8.68
80069	20230101	8.68
80074	20230101	47.63
80076	20230101	8.17
80081	20230101	74.86
80143	20230101	18.64
80145	20230101	38.57
80150	20230101	15.08
80151	20230101	18.64
80155	20230101	38.57
80156	20230101	14.57
80157	20230101	13.25
80158	20230101	18.05
80159	20230101	20.15
80161	20230101	18.64
80162	20230101	13.28
80163	20230101	13.28
80164	20230101	13.54
80165	20230101	13.54
80167	20230101	18.64
80168	20230101	16.34
80169	20230101	13.73
80170	20230101	16.38
80171	20230101	21.67
80173	20230101	15.78
80175	20230101	13.25
80176	20230101	14.69
80177	20230101	13.25
80178	20230101	6.61
80178	20230101	6.61
80179	20230101	18.64
80180	20230101	18.05
80181	20230101	18.64
80183	20230101	13.25
80184	20230101	15.3
80185	20230101	13.25
80186	20230101	13.76
80187	20230101	27.11
80188	20230101	16.59
80189	20230101	27.11
80190	20230101	60.0
80192	20230101	16.75
80193	20230101	38.57
80194	20230101	14.6
80195	20230101	13.73
80197	20230101	13.73
80198	20230101	14.14
80199	20230101	27.11
80200	20230101	16.13
80201	20230101	11.92
80202	20230101	13.54
80203	20230101	13.25
80204	20230101	38.57
80210	20230101	27.11
80220	20230101	18.64
80230	20230101	38.57
80235	20230101	27.11
80280	20230101	38.57
80285	20230101	27.11
80299	20230101	18.64
80305	20230101	12.6
80305	20230101	12.6
80306	20230101	17.14
80307	20230101	62.14
80400	20230101	32.62
80402	20230101	86.96
80406	20230101	78.26
80408	20230101	125.5
80410	20230101	80.37
80412	20230101	801.62
80414	20230101	51.64
80415	20230101	55.89
80416	20230101	209.32
80417	20230101	43.99
80418	20230101	579.48
80420	20230101	161.88
80422	20230101	46.07
80424	20230101	50.5
80426	20230101	148.41
80428	20230101	66.7
80430	20230101	129.33
80432	20230101	165.61
80434	20230101	285.03
80435	20230101	103.0
80436	20230101	91.16
80438	20230101	50.41
80439	20230101	67.21
81000	20230101	4.02
81001	20230101	3.17
81002	20230101	3.48
81003	20230101	2.25
81003	20230101	2.25
81005	20230101	2.17
81007	20230101	29.98
81007	20230101	29.98
81015	20230101	3.05
81020	20230101	4.7
81025	20230101	8.61
81050	20230101	3.64
81105	20230101	122.22
81106	20230101	122.22
81107	20230101	122.22
81108	20230101	122.22
81109	20230101	122.22
81110	20230101	122.22
81111	20230101	122.22
81112	20230101	122.22
81120	20230101	193.25
81121	20230101	295.79
81161	20230101	279.0
81162	20230101	1824.88
81163	20230101	468.0
81164	20230101	584.23
81165	20230101	282.88
81166	20230101	301.35
81167	20230101	282.88
81168	20230101	207.31
81170	20230101	300.0
81171	20230101	137.0
81172	20230101	274.83
81173	20230101	301.35
81174	20230101	185.2
81175	20230101	676.5
81176	20230101	241.9
81177	20230101	137.0
81178	20230101	137.0
81179	20230101	137.0
81180	20230101	137.0
81181	20230101	137.0
81182	20230101	137.0
81183	20230101	137.0
81184	20230101	137.0
81185	20230101	846.27
81186	20230101	185.2
81187	20230101	137.0
81188	20230101	137.0
81189	20230101	274.83
81190	20230101	185.2
81191	20230101	207.31
81192	20230101	207.31
81193	20230101	207.31
81194	20230101	518.28
81200	20230101	47.25
81201	20230101	780.0
81202	20230101	280.0
81203	20230101	200.0
81204	20230101	137.0
81205	20230101	94.99
81206	20230101	163.96
81207	20230101	144.84
81208	20230101	214.62
81209	20230101	39.31
81210	20230101	175.4
81212	20230101	440.0
81215	20230101	375.25
81216	20230101	185.12
81217	20230101	375.25
81218	20230101	241.9
81219	20230101	121.63
81220	20230101	556.6
81221	20230101	97.22
81222	20230101	435.07
81223	20230101	499.0
81224	20230101	168.75
81225	20230101	291.36
81226	20230101	450.91
81227	20230101	174.81
81228	20230101	900.0
81229	20230101	1160.0
81230	20230101	174.81
81231	20230101	174.81
81232	20230101	174.81
81233	20230101	175.4
81234	20230101	137.0
81235	20230101	324.58
81236	20230101	282.88
81237	20230101	175.4
81238	20230101	600.0
81239	20230101	274.83
81240	20230101	65.69
81241	20230101	73.37
81242	20230101	36.62
81243	20230101	57.04
81244	20230101	44.89
81245	20230101	165.51
81246	20230101	83.0
81247	20230101	174.81
81248	20230101	375.25
81249	20230101	600.0
81250	20230101	58.49
81251	20230101	47.25
81252	20230101	101.12
81253	20230101	61.52
81254	20230101	35.0
81255	20230101	51.45
81256	20230101	65.36
81257	20230101	102.26
81258	20230101	375.25
81259	20230101	600.0
81260	20230101	39.31
81261	20230101	197.99
81262	20230101	68.55
81263	20230101	294.52
81264	20230101	172.73
81265	20230101	233.07
81266	20230101	304.81
81267	20230101	207.46
81268	20230101	260.79
81269	20230101	202.4
81270	20230101	91.66
81271	20230101	137.0
81272	20230101	329.51
81273	20230101	124.87
81274	20230101	274.83
81275	20230101	193.25
81276	20230101	193.25
81277	20230101	1160.0
81278	20230101	207.31
81279	20230101	185.2
81283	20230101	73.37
81284	20230101	137.0
81285	20230101	274.83
81286	20230101	274.83
81287	20230101	124.64
81288	20230101	192.32
81289	20230101	185.2
81290	20230101	39.31
81291	20230101	65.34
81292	20230101	675.4
81293	20230101	331.0
81294	20230101	202.4
81295	20230101	381.7
81296	20230101	337.73
81297	20230101	213.3
81298	20230101	641.85
81299	20230101	308.0
81300	20230101	238.0
81301	20230101	348.56
81302	20230101	527.87
81303	20230101	120.0
81304	20230101	150.0
81305	20230101	175.4
81306	20230101	291.36
81307	20230101	676.5
81308	20230101	301.35
81309	20230101	274.83
81310	20230101	246.52
81311	20230101	295.79
81312	20230101	137.0
81313	20230101	255.05
81314	20230101	329.51
81315	20230101	207.31
81316	20230101	207.31
81317	20230101	676.5
81318	20230101	331.0
81319	20230101	203.5
81320	20230101	291.36
81321	20230101	600.0
81322	20230101	46.6
81323	20230101	300.0
81324	20230101	758.36
81325	20230101	769.58
81326	20230101	46.6
81327	20230101	192.0
81328	20230101	174.81
81329	20230101	137.0
81330	20230101	47.0
81331	20230101	51.07
81332	20230101	43.65
81333	20230101	137.0
81334	20230101	329.51
81335	20230101	174.81
81336	20230101	301.35
81337	20230101	185.2
81338	20230101	150.33
81339	20230101	185.2
81340	20230101	208.92
81341	20230101	49.59
81342	20230101	201.5
81343	20230101	137.0
81344	20230101	137.0
81345	20230101	185.2
81346	20230101	174.81
81347	20230101	193.25
81348	20230101	175.4
81349	20230101	1160.0
81350	20230101	234.0
81351	20230101	641.85
81352	20230101	329.51
81353	20230101	308.0
81355	20230101	88.2
81357	20230101	193.25
81360	20230101	193.25
81361	20230101	174.81
81362	20230101	375.25
81363	20230101	202.4
81364	20230101	324.58
81370	20230101	402.12
81371	20230101	404.52
81372	20230101	403.59
81373	20230101	127.43
81374	20230101	74.33
81375	20230101	220.74
81376	20230101	122.22
81377	20230101	94.74
81378	20230101	345.57
81379	20230101	335.38
81380	20230101	177.25
81381	20230101	169.9
81382	20230101	123.68
81383	20230101	109.13
81400	20230101	63.96
81401	20230101	137.0
81402	20230101	150.33
81403	20230101	185.2
81404	20230101	274.83
81405	20230101	301.35
81406	20230101	282.88
81407	20230101	846.27
81408	20230101	2000.0
81410	20230101	504.0
81411	20230101	1350.19
81412	20230101	2448.56
81413	20230101	584.9
81414	20230101	584.9
81415	20230101	4780.0
81416	20230101	12000.0
81417	20230101	320.0
81418	20230101	0.0
81419	20230101	2448.56
81420	20230101	759.05
81422	20230101	759.05
81425	20230101	5031.2
81426	20230101	2709.95
81427	20230101	2337.65
81430	20230101	1625.0
81431	20230101	679.57
81432	20230101	679.05
81433	20230101	438.93
81434	20230101	597.91
81435	20230101	584.9
81436	20230101	584.9
81437	20230101	438.93
81438	20230101	438.93
81439	20230101	584.9
81440	20230101	3324.0
81441	20230101	2448.56
81442	20230101	2143.6
81443	20230101	2448.56
81445	20230101	597.91
81448	20230101	584.9
81449	20230101	597.91
81450	20230101	759.53
81451	20230101	759.53
81455	20230101	2919.6
81456	20230101	2919.6
81460	20230101	1287.0
81465	20230101	936.0
81470	20230101	914.0
81471	20230101	914.0
81490	20230101	840.65
81493	20230101	1050.0
81500	20230101	260.5
81503	20230101	897.0
81504	20230101	520.0
81506	20230101	68.92
81507	20230101	795.0
81508	20230101	54.3
81509	20230101	1487.37
81510	20230101	55.54
81511	20230101	153.5
81512	20230101	69.52
81513	20230101	142.63
81514	20230101	262.99
81518	20230101	3873.0
81519	20230101	3873.0
81520	20230101	2510.21
81521	20230101	3873.0
81522	20230101	3873.0
81523	20230101	3873.0
81525	20230101	3116.0
81528	20230101	508.87
81529	20230101	7193.0
81535	20230101	579.46
81536	20230101	177.56
81538	20230101	2871.0
81539	20230101	760.0
81540	20230101	3750.0
81541	20230101	3873.0
81542	20230101	3873.0
81546	20230101	3600.0
81551	20230101	2030.0
81552	20230101	7776.0
81554	20230101	5520.0
81560	20230101	640.73
81595	20230101	3240.0
81596	20230101	72.19
82009	20230101	4.52
82010	20230101	8.17
82010	20230101	8.17
82013	20230101	12.29
82016	20230101	16.49
82017	20230101	16.87
82024	20230101	38.62
82030	20230101	25.8
82040	20230101	4.95
82040	20230101	4.95
82042	20230101	7.78
82042	20230101	7.78
82043	20230101	5.78
82043	20230101	5.78
82044	20230101	6.23
82044	20230101	6.23
82045	20230101	33.94
82075	20230101	30.0
82077	20230101	17.27
82085	20230101	9.71
82088	20230101	40.75
82103	20230101	13.44
82104	20230101	14.46
82105	20230101	16.77
82106	20230101	17.0
82107	20230101	64.41
82108	20230101	25.48
82120	20230101	5.99
82120	20230101	5.99
82127	20230101	14.18
82128	20230101	13.87
82131	20230101	22.98
82135	20230101	16.45
82136	20230101	19.61
82139	20230101	16.87
82140	20230101	14.57
82143	20230101	9.35
82150	20230101	6.48
82150	20230101	6.48
82154	20230101	28.83
82157	20230101	29.28
82160	20230101	25.55
82163	20230101	20.52
82164	20230101	14.6
82172	20230101	21.09
82175	20230101	18.97
82180	20230101	9.89
82190	20230101	15.9
82232	20230101	16.18
82239	20230101	17.12
82240	20230101	26.58
82247	20230101	5.02
82247	20230101	5.02
82248	20230101	5.02
82252	20230101	4.56
82261	20230101	16.87
82270	20230101	4.38
82271	20230101	5.32
82271	20230101	5.32
82272	20230101	4.23
82274	20230101	15.92
82274	20230101	15.92
82286	20230101	5.16
82300	20230101	23.64
82306	20230101	29.6
82308	20230101	26.79
82310	20230101	5.16
82310	20230101	5.16
82330	20230101	13.68
82330	20230101	13.68
82331	20230101	13.34
82340	20230101	6.03
82355	20230101	11.58
82360	20230101	12.87
82365	20230101	12.9
82370	20230101	12.52
82373	20230101	18.06
82374	20230101	4.88
82374	20230101	4.88
82375	20230101	12.32
82376	20230101	14.07
82378	20230101	18.96
82379	20230101	16.87
82380	20230101	9.22
82382	20230101	27.3
82383	20230101	29.08
82384	20230101	25.25
82387	20230101	18.06
82390	20230101	10.74
82397	20230101	14.12
82415	20230101	12.67
82435	20230101	4.6
82435	20230101	4.6
82436	20230101	5.75
82438	20230101	5.0
82441	20230101	6.01
82465	20230101	4.35
82465	20230101	4.35
82480	20230101	7.87
82482	20230101	9.81
82485	20230101	20.65
82495	20230101	20.28
82507	20230101	27.8
82523	20230101	18.68
82523	20230101	18.68
82525	20230101	12.41
82528	20230101	22.52
82530	20230101	16.71
82533	20230101	16.3
82540	20230101	4.64
82542	20230101	24.09
82550	20230101	6.51
82550	20230101	6.51
82552	20230101	13.39
82553	20230101	11.55
82554	20230101	11.87
82565	20230101	5.12
82565	20230101	5.12
82570	20230101	5.18
82570	20230101	5.18
82575	20230101	9.46
82585	20230101	14.14
82595	20230101	6.47
82600	20230101	19.4
82607	20230101	15.08
82608	20230101	14.32
82610	20230101	18.52
82615	20230101	9.55
82626	20230101	25.27
82627	20230101	22.23
82633	20230101	30.98
82634	20230101	29.28
82638	20230101	12.25
82642	20230101	29.28
82652	20230101	38.5
82653	20230101	22.97
82656	20230101	11.53
82657	20230101	22.17
82658	20230101	44.03
82664	20230101	61.5
82668	20230101	18.79
82670	20230101	27.94
82671	20230101	32.3
82672	20230101	21.7
82677	20230101	24.18
82679	20230101	24.95
82679	20230101	24.95
82681	20230101	27.94
82693	20230101	14.9
82696	20230101	26.24
82705	20230101	5.1
82710	20230101	16.8
82715	20230101	22.97
82725	20230101	18.77
82726	20230101	19.75
82728	20230101	13.63
82731	20230101	64.41
82735	20230101	18.54
82746	20230101	14.7
82747	20230101	17.65
82757	20230101	17.34
82759	20230101	21.48
82760	20230101	11.2
82775	20230101	21.07
82776	20230101	11.74
82777	20230101	44.25
82784	20230101	9.3
82785	20230101	16.46
82787	20230101	8.02
82800	20230101	11.0
82803	20230101	26.07
82805	20230101	78.77
82810	20230101	9.77
82820	20230101	13.34
82930	20230101	6.71
82938	20230101	17.69
82941	20230101	17.63
82943	20230101	14.29
82945	20230101	3.93
82946	20230101	17.77
82947	20230101	3.93
82947	20230101	3.93
82948	20230101	5.04
82950	20230101	4.75
82950	20230101	4.75
82951	20230101	12.87
82951	20230101	12.87
82952	20230101	3.92
82952	20230101	3.92
82955	20230101	9.7
82960	20230101	6.05
82962	20230101	3.28
82963	20230101	21.48
82965	20230101	13.15
82977	20230101	7.2
82977	20230101	7.2
82978	20230101	15.45
82979	20230101	9.44
82985	20230101	16.76
82985	20230101	16.76
83001	20230101	18.58
83001	20230101	18.58
83002	20230101	18.52
83002	20230101	18.52
83003	20230101	16.67
83006	20230101	75.6
83009	20230101	67.36
83010	20230101	12.58
83012	20230101	26.89
83013	20230101	67.36
83014	20230101	7.86
83015	20230101	20.94
83018	20230101	21.96
83020	20230101	12.87
83021	20230101	18.06
83026	20230101	4.01
83030	20230101	10.74
83033	20230101	8.0
83036	20230101	9.71
83036	20230101	9.71
83037	20230101	9.71
83037	20230101	9.71
83045	20230101	6.49
83050	20230101	8.2
83051	20230101	7.31
83060	20230101	8.8
83065	20230101	9.0
83068	20230101	9.47
83069	20230101	3.95
83070	20230101	4.75
83080	20230101	16.87
83088	20230101	29.53
83090	20230101	17.92
83150	20230101	22.41
83491	20230101	17.9
83497	20230101	12.9
83498	20230101	27.17
83500	20230101	22.65
83505	20230101	24.3
83516	20230101	11.53
83516	20230101	11.53
83518	20230101	9.64
83518	20230101	9.64
83519	20230101	18.4
83520	20230101	17.27
83520	20230101	17.27
83521	20230101	17.27
83525	20230101	11.43
83527	20230101	12.95
83528	20230101	19.82
83529	20230101	17.27
83540	20230101	6.47
83550	20230101	8.74
83570	20230101	8.85
83582	20230101	15.47
83586	20230101	12.8
83593	20230101	28.5
83605	20230101	11.57
83605	20230101	11.57
83615	20230101	6.04
83625	20230101	12.79
83630	20230101	19.7
83631	20230101	19.63
83632	20230101	20.22
83633	20230101	11.25
83655	20230101	12.11
83655	20230101	12.11
83661	20230101	21.99
83662	20230101	18.91
83663	20230101	18.91
83664	20230101	19.32
83670	20230101	9.81
83690	20230101	6.89
83695	20230101	14.32
83698	20230101	46.31
83700	20230101	11.26
83701	20230101	33.86
83704	20230101	34.19
83718	20230101	8.19
83718	20230101	8.19
83719	20230101	12.75
83721	20230101	10.5
83721	20230101	10.5
83722	20230101	34.19
83727	20230101	17.19
83735	20230101	6.7
83775	20230101	7.37
83785	20230101	26.65
83789	20230101	24.11
83825	20230101	16.26
83835	20230101	16.94
83857	20230101	10.74
83861	20230101	22.48
83861	20230101	22.48
83864	20230101	28.5
83872	20230101	5.86
83873	20230101	17.2
83874	20230101	12.92
83876	20230101	50.86
83880	20230101	39.26
83880	20230101	39.26
83883	20230101	13.6
83885	20230101	24.51
83915	20230101	11.15
83916	20230101	27.39
83918	20230101	23.6
83919	20230101	16.45
83921	20230101	21.21
83930	20230101	6.61
83935	20230101	6.82
83937	20230101	29.85
83945	20230101	14.45
83950	20230101	64.41
83951	20230101	64.41
83970	20230101	41.28
83986	20230101	3.58
83986	20230101	3.58
83987	20230101	3.58
83993	20230101	19.63
84030	20230101	5.5
84035	20230101	3.98
84060	20230101	7.64
84066	20230101	9.66
84075	20230101	5.18
84075	20230101	5.18
84078	20230101	8.26
84080	20230101	14.78
84081	20230101	16.52
84085	20230101	9.44
84087	20230101	10.73
84100	20230101	4.74
84105	20230101	5.78
84106	20230101	5.82
84110	20230101	8.44
84112	20230101	98.11
84119	20230101	13.36
84120	20230101	14.71
84126	20230101	39.11
84132	20230101	4.76
84132	20230101	4.76
84133	20230101	4.73
84134	20230101	14.59
84135	20230101	21.27
84138	20230101	21.05
84140	20230101	20.67
84143	20230101	22.81
84144	20230101	20.86
84145	20230101	27.22
84146	20230101	19.38
84150	20230101	41.77
84152	20230101	18.39
84153	20230101	18.39
84154	20230101	18.39
84155	20230101	3.67
84155	20230101	3.67
84156	20230101	3.67
84157	20230101	4.0
84157	20230101	4.0
84160	20230101	5.61
84163	20230101	15.05
84165	20230101	10.74
84166	20230101	17.83
84181	20230101	17.03
84182	20230101	29.21
84202	20230101	14.35
84203	20230101	9.74
84206	20230101	26.69
84207	20230101	28.1
84210	20230101	14.48
84220	20230101	9.44
84228	20230101	11.63
84233	20230101	87.88
84234	20230101	64.88
84235	20230101	71.23
84238	20230101	36.57
84244	20230101	21.99
84252	20230101	20.24
84255	20230101	25.53
84260	20230101	30.98
84270	20230101	21.73
84275	20230101	13.44
84285	20230101	25.21
84295	20230101	4.81
84295	20230101	4.81
84300	20230101	5.06
84302	20230101	4.86
84305	20230101	21.26
84307	20230101	18.28
84311	20230101	8.1
84315	20230101	3.28
84375	20230101	39.0
84376	20230101	5.5
84377	20230101	5.5
84378	20230101	11.53
84379	20230101	11.53
84392	20230101	5.49
84402	20230101	25.47
84403	20230101	25.81
84410	20230101	51.28
84425	20230101	21.23
84430	20230101	11.63
84431	20230101	35.11
84432	20230101	16.06
84433	20230101	22.17
84436	20230101	6.87
84437	20230101	6.47
84439	20230101	9.02
84442	20230101	14.78
84443	20230101	16.8
84443	20230101	16.8
84445	20230101	50.86
84446	20230101	14.18
84449	20230101	18.0
84450	20230101	5.18
84450	20230101	5.18
84460	20230101	5.3
84460	20230101	5.3
84466	20230101	12.76
84478	20230101	5.74
84478	20230101	5.74
84479	20230101	6.47
84480	20230101	14.18
84481	20230101	16.94
84482	20230101	15.76
84484	20230101	12.47
84485	20230101	7.2
84488	20230101	7.3
84490	20230101	9.93
84510	20230101	10.63
84512	20230101	10.09
84520	20230101	3.95
84520	20230101	3.95
84525	20230101	5.13
84540	20230101	5.56
84545	20230101	7.2
84550	20230101	4.52
84550	20230101	4.52
84560	20230101	5.08
84577	20230101	16.8
84578	20230101	4.47
84580	20230101	9.55
84583	20230101	6.05
84585	20230101	15.5
