SVC_CD	MODIFIER_1	MODIFIER_2	MODIFIER_3	MODIFIER_4	FEE	AS_OF_DATE	AGE_UNIT	FROM_AGE	THROUGH_AGE	PLACE_OF_SERVICE_CODE
90371					143.771					
90375					288.383					
90377					260.435					
90586					143.589					
90632					70.388					
90662					73.403					
90670					257.989					
90671					253.56					
90672					27.788					
90674					34.172					
90675					338.493					
90677					298.036					
90682					73.403					
90686					22.35					
90687					10.439					
90688					20.878					
90694					77.359					
90714					27.817					
90715					38.292					
90732					133.472					
90739					168.298					
90740					158.152					
90743					75.145					
90744					30.77					
90746					70.376					
90747					140.752					
90756					32.374					
90759					73.815					
91304					148.2					
91318					65.55					
91319					87.78					
91320					131.1					
91321					145.92					
91322					145.92					
A9573					3.911					
A9575					0.116					
A9576					1.472					
A9577					1.834					
A9578					1.808					
A9579					1.502					
A9581					14.729					
A9585					0.31					
A9589					1341.186					
A9606										
J0121					3.88					
J0122					1.213					
J0129					43.727					
J0131					0.054					
J0132					0.57					
J0133					0.039					
J0134					0.048					
J0136					0.05					
J0137					0.053					
J0153					0.423					
J0171					0.807					
J0172					5.978					
J0173					1.859					
J0174					1.336					
J0177					335.707					
J0178					835.399					
J0179					331.229					
J0180					222.931					
J0185					1.716					
J0202					2348.836					
J0206					5.49					
J0218					381.833					
J0219					77.6					
J0221					201.667					
J0222					99.352					
J0223					112.279					
J0224					318.494					
J0225					4932.109					
J0248					6.354					
J0256					3.565					
J0257					5.385					
J0278					0.788					
J0280					13.179					
J0283					2.422					
J0285					46.899					
J0289					21.631					
J0290					0.88					
J0291					3.593					
J0295					1.94					
J0348					0.532					
J0349					10.122					
J0360					4.109					
J0401					7.005					
J0402					5.922					
J0456					2.175					
J0457					2.128					
J0461					0.084					
J0475					177.577					
J0476					45.94					
J0480					4581.223					
J0485					3.871					
J0490					54.129					
J0491					17.331					
J0500					20.332					
J0515					16.291					
J0517					168.222					
J0558					19.523					
J0561					23.972					
J0565					39.885					
J0577					426.971					
J0578					1707.883					
J0583					0.202					
J0584					464.74					
J0585					6.375					
J0586					8.775					
J0587					13.063					
J0588					5.206					
J0592					3.793					
J0594					0.955					
J0595					3.816					
J0596					34.778					
J0597					67.769					
J0598					64.283					
J0612					0.035					
J0613					0.087					
J0630					1071.969					
J0637					6.715					
J0638					126.545					
J0640					4.426					
J0641					0.018					
J0642					1.7					
J0665					0.011					
J0670					3.381					
J0687					1.081					
J0688					1.061					
J0689					1.272					
J0690					0.817					
J0692					1.275					
J0694					4.483					
J0695					8.241					
J0696					0.456					
J0697					1.867					
J0699					2.269					
J0701					5.694					
J0702					7.276					
J0703					5.134					
J0712					4.026					
J0713					1.619					
J0714					100.2					
J0717					4.456					
J0725					21.816					
J0735					17.368					
J0736					2.391					
J0737					3.264					
J0740					544.734					
J0741					22.924					
J0742					2.515					
J0743					6.913					
J0744					1.846					
J0770					10.897					
J0775					68.683					
J0780					3.644					
J0791					127.387					
J0801					3479.526					
J0802					3480.986					
J0834					21.73					
J0840					1894.146					
J0841					1056.385					
J0850					1812.137					
J0872					0.325					
J0873					0.031					
J0874					0.068					
J0875					15.789					
J0877					0.059					
J0878					0.022					
J0881					3.063					
J0882					3.063					
J0885					8.134					
J0887					1.075					
J0888					1.075					
J0894					1.431					
J0895					6.9					
J0896					40.68					
J0897					26.749					
J1000					39.33					
J1010					0.138					
J1071					0.031					
J1100					0.113					
J1110					47.114					
J1120					24.035					
J1160					7.174					
J1162					4777.441					
J1165					0.497					
J1170					2.703					
J1190					100.665					
J1200					0.907					
J1201					14.955					
J1203					88.141					
J1205					63.789					
J1212					706.17					
J1230					20.69					
J1240					8.453					
J1245					3.876					
J1250					7.581					
J1265					0.786					
J1270					0.331					
J1290					562.88					
J1300					225.47					
J1301					21.823					
J1302					18.101					
J1303					221.207					
J1304					150.827					
J1305					182.655					
J1306					12.205					
J1322					288.537					
J1323					179.921					
J1325					16.474					
J1335					10.739					
J1364					69.785					
J1380					8.323					
J1410					384.03					
J1430					498.994					
J1437					20.647					
J1439					1.126					
J1440					63.282					
J1442					0.995					
J1447					0.398					
J1448					5.281					
J1449					26.174					
J1450					2.448					
J1453					0.166					
J1454					687.145					
J1456					2.043					
J1458					475.674					
J1459					48.671					
J1460					50.071					
J1551					14.534					
J1554					491.404					
J1555					16.892					
J1556					75.172					
J1557					54.566					
J1558					14.4					
J1559					13.188					
J1560					500.711					
J1561					49.58					
J1566					79.899					
J1568					47.74					
J1569					45.072					
J1570					32.014					
J1571					62.779					
J1575					17.239					
J1576					69.765					
J1580					2.066					
J1596					0.455					
J1602					11.37					
J1610					189.462					
J1611					129.665					
J1626					0.298					
J1627					5.629					
J1630					1.157					
J1631					6.528					
J1640					32.118					
J1642					0.017					
J1643					3.419					
J1644					0.234					
J1645					16.29					
J1650					0.576					
J1652					1.081					
J1670					564.921					
J1720					19.853					
J1740					28.721					
J1743					544.923					
J1745					31.707					
J1746					77.245					
J1747					61.418					
J1750					17.99					
J1756					0.228					
J1786					43.737					
J1805					0.264					
J1806					0.4					
J1811					7.539					
J1813					15.531					
J1817					2.668					
J1823					483.838					
J1836					0.026					
J1885					0.833					
J1920					0.174					
J1921					2.129					
J1930					50.025					
J1931					38.629					
J1932					42.343					
J1939					0.615					
J1940					0.438					
J1943					3.144					
J1944					3.224					
J1950					1673.933					
J1951					140.0					
J1952					55.637					
J1953					0.055					
J1954					306.658					
J1955					30.542					
J1956					0.935					
J1961					21.917					
J2001					0.026					
J2010					9.948					
J2020					2.621					
J2021					14.342					
J2060					1.307					
J2150					2.893					
J2175					6.022					
J2182					30.459					
J2183					1.601					
J2184					2.107					
J2185					0.321					
J2210					20.792					
J2247					0.486					
J2248					0.419					
J2250					0.143					
J2251					0.213					
J2260					1.391					
J2267					34.743					
J2270					3.242					
J2272					4.553					
J2274					10.482					
J2277					25.218					
J2278					9.776					
J2280					8.783					
J2281					7.563					
J2300					3.232					
J2305					1.341					
J2310					9.336					
J2311					7.711					
J2315					4.096					
J2323					24.073					
J2327					14.986					
J2329					70.051					
J2350					60.251					
J2353					215.483					
J2354					0.903					
J2356					18.239					
J2357					38.326					
J2358					2.917					
J2359					0.984					
J2360					9.093					
J2372					0.17					
J2373					0.212					
J2401					0.03					
J2403					0.671					
J2405					0.092					
J2406					41.934					
J2407					28.122					
J2426					14.662					
J2427					12.532					
J2430					11.667					
J2469					0.977					
J2501					0.983					
J2506					55.126					
J2507					3447.057					
J2540					0.93					
J2543					1.18					
J2545					85.814					
J2550					3.572					
J2560					32.772					
J2562					127.413					
J2597					5.563					
J2598					1.926					
J2599					1.571					
J2675					0.725					
J2679					7.308					
J2680					8.924					
J2690					412.739					
J2700					0.939					
J2704					0.089					
J2720					0.89					
J2724					15.012					
J2760					399.334					
J2765					0.925					
J2777					34.824					
J2778					137.626					
J2779					80.489					
J2781					149.07					
J2782					110.459					
J2783					370.902					
J2785					3.391					
J2786					10.086					
J2788					25.878					
J2790					77.316					
J2791					4.761					
J2792					33.723					
J2794					12.164					
J2795					0.069					
J2796					100.814					
J2798					12.211					
J2799					25.08					
J2800					8.099					
J2805					142.52					
J2820					59.995					
J2860					153.155					
J2916					2.137					
J2919					0.295					
J2997					91.341					
J3000					31.975					
J3010					0.838					
J3032					18.656					
J3055					67.612					
J3060					44.57					
J3090					1.809					
J3095					7.06					
J3101					157.468					
J3105					3.663					
J3111					11.155					
J3121					0.047					
J3145					1.889					
J3230					30.094					
J3240					2065.839					
J3241					336.14					
J3243					0.583					
J3245					133.551					
J3246					3.963					
J3247					17.564					
J3250					48.359					
J3260					2.388					
J3262					5.95					
J3263					39.272					
J3285					55.484					
J3299					48.583					
J3301					1.029					
J3304					17.826					
J3315					458.511					
J3357					158.158					
J3358					12.878					
J3360					5.449					
J3370					1.995					
J3371					5.938					
J3372					6.481					
J3380					22.877					
J3385					369.483					
J3396					11.52					
J3401					996.939					
J3410					14.503					
J3411					1.941					
J3415					10.09					
J3420					1.113					
J3430					2.854					
J3465					0.696					
J3473					0.363					
J3475					0.503					
J3480					0.11					
J3485					1.511					
J3486					8.082					
J3489					5.726					
J7030					2.69					
J7040					1.345					
J7042					1.159					
J7050					0.672					
J7060					1.679					
J7070					3.359					
J7120					2.454					
J7170					52.569					
J7171					34.679					
J7175					9.112					
J7177					1.1					
J7178					1.444					
J7179					1.827					
J7180					10.154					
J7181					17.626					
J7182					1.376					
J7183					1.273					
J7185					1.419					
J7186					1.19					
J7187					1.396					
J7188					3.221					
J7189					2.537					
J7190					1.083					
J7192					1.551					
J7193					1.393					
J7194					1.65					
J7195					1.839					
J7197					3.889					
J7198					2.359					
J7200					1.618					
J7201					3.567					
J7202					5.06					
J7203					4.506					
J7204					2.168					
J7205					2.298					
J7207					2.034					
J7208					2.435					
J7209					1.219					
J7210					1.458					
J7211					1.465					
J7212					2.271					
J7213					1.722					
J7214					4.702					
J7308					395.235					
J7312					205.557					
J7313					488.703					
J7314					527.134					
J7318					6.663					
J7320					5.125					
J7321					75.484					
J7322					17.559					
J7323					121.979					
J7324					119.797					
J7325					8.817					
J7326					520.994					
J7327					651.845					
J7328					0.556					
J7329					7.09					
J7331					10.289					
J7332					10.186					
J7336					3.325					
J7340					234.902					
J7345					1.742					
J7351					208.381					
J7354					719.584					
J7402					11.345					
J7500					1.833					
J7502					2.191					
J7503					1.767					
J7504					3982.594					
J7507					0.235					
J7508					0.563					
J7509					0.242					
J7510					0.239					
J7511					956.012					
J7512					0.008					
J7515					0.795					
J7517					0.163					
J7518					0.374					
J7519					0.544					
J7520					1.335					
J7525					253.607					
J7527					2.202					
J7605					1.463					
J7606					3.145					
J7608					9.109					
J7611					0.168					
J7612					0.271					
J7613					0.047					
J7614					0.053					
J7620					0.189					
J7626					1.188					
J7631					0.509					
J7639					53.436					
J7644					0.375					
J7674					1.488					
J7677					0.182					
J7682					17.037					
J7686					759.868					
J8501					3.4					
J8520					0.308					
J8521					0.642					
J8530					0.962					
J8540					0.068					
J8560					75.758					
J8610					0.239					
J8655					393.862					
J8670					1.763					
J8700					0.233					
J8705					114.308					
J9000					3.262					
J9017					10.687					
J9021					52.596					
J9022					85.777					
J9023					94.727					
J9025					0.435					
J9027					9.185					
J9029					63499.333					
J9030					2.872					
J9032					49.956					
J9033					5.364					
J9034					13.614					
J9035					72.462					
J9036					3.587					
J9039					151.956					
J9040					25.137					
J9041					1.733					
J9042					239.602					
J9043					215.501					
J9045					3.691					
J9047					49.629					
J9049					1.917					
J9050					378.182					
J9055					75.633					
J9058					18.819					
J9059					18.819					
J9060					3.747					
J9061					20.569					
J9063					66.865					
J9065					13.275					
J9071					1.254					
J9073					0.789					
J9075					1.106					
J9100					0.764					
J9118					76.389					
J9119					27.697					
J9120					397.513					
J9130					3.598					
J9144					50.996					
J9145					64.377					
J9150					26.663					
J9153					241.609					
J9155					4.269					
J9171					0.864					
J9173					81.874					
J9176					7.571					
J9177					36.117					
J9178					1.491					
J9179					141.293					
J9181					1.131					
J9185					229.304					
J9190					3.219					
J9196					7.782					
J9200					3857.121					
J9201					3.296					
J9202					659.534					
J9203					229.674					
J9204					238.528					
J9205					63.375					
J9206					2.712					
J9207					133.164					
J9208					25.715					
J9209					1.782					
J9210					366.67					
J9211					45.321					
J9217					180.54					
J9218					4.654					
J9223					202.758					
J9226					44158.253					
J9227					77.992					
J9228					176.784					
J9229					2618.847					
J9245					155.331					
J9246					15.063					
J9259					15.398					
J9260					2.581					
J9261					73.32					
J9263					0.079					
J9264					13.24					
J9266					27014.856					
J9267					0.094					
J9268					2537.067					
J9269					326.529					
J9271					56.658					
J9272					236.465					
J9273					174.947					
J9274					214.56					
J9280					54.164					
J9281					306.659					
J9286					2706.61					
J9293					55.108					
J9294					1.97					
J9295					5.737					
J9297					1.121					
J9298					190.495					
J9299					31.596					
J9301					74.15					
J9303					158.686					
J9304					52.952					
J9305					5.615					
J9306					15.945					
J9307					299.132					
J9308					71.261					
J9309					129.957					
J9311					36.527					
J9312					77.675					
J9314					10.995					
J9316					66.319					
J9317					34.926					
J9319					29.774					
J9321					54.444					
J9323					4.694					
J9325					69.959					
J9328					10.398					
J9330					30.75					
J9331					113.743					
J9332					32.124					
J9333					22.825					
J9334					33.13					
J9340					227.255					
J9345					29.361					
J9347					135.563					
J9348					609.168					
J9349					13.775					
J9350					637.193					
J9351					0.938					
J9352					355.364					
J9353					48.14					
J9354					40.042					
J9355					78.082					
J9356					64.612					
J9357					1453.797					
J9358					27.752					
J9359					206.414					
J9360					3.88					
J9370					8.491					
J9380					31.75					
J9381					36.945					
J9390					8.198					
J9394					12.257					
J9395					8.726					
J9400					7.091					
P9041					10.615					
P9045					53.077					
P9046					21.231					
P9047					53.077					
Q0138					0.331					
Q0139					0.331					
Q0162					0.014					
Q0167					2.688					
Q0249					6.572					
Q2041					489136.91					
Q2042					523452.561					
Q2043					55512.784					
Q2050					136.226					
Q2053					449440.0					
Q2054					496390.205					
Q2055					503454.525					
Q2056					507687.0					
Q3027					57.119					
Q4074					147.166					
Q4081					0.813					
Q4101					30.633					
Q4102					11.791					
Q4103					12.363					
Q4104					49.526					
Q4105					25.17					
Q4108					51.924					
Q4110					44.157					
Q4111					7.142					
Q4114					1549.363					
Q4115					15.544					
Q4118					2.558					
Q4121					46.292					
Q4124					7.835					
Q4126					80.922					
Q4127					67.324					
Q4128					30.873					
Q4132					97.318					
Q4133					141.66					
Q4137					104.668					
Q4141					42.738					
Q4143					33.92					
Q4147					147.222					
Q4148					129.933					
Q4150					79.003					
