SVC_CD	MODIFIER_1	MODIFIER_2	MODIFIER_3	MODIFIER_4	FEE	AS_OF_DATE	AGE_UNIT	FROM_AGE	THROUGH_AGE	PLACE_OF_SERVICE_CODE
90371					135.879					
90375					213.236					
90376					325.724					
90377					235.664					
90586					142.288					
90632					70.982					
90662					69.941					
90670					257.989					
90671					246.195					
90672					26.876					
90674					32.278					
90675					348.527					
90677					283.717					
90682					69.941					
90686					21.518					
90687					10.241					
90688					20.482					
90694					71.682					
90714					28.012					
90715					38.277					
90732					133.472					
90739					152.076					
90740					146.329					
90743					71.716					
90744					29.043					
90746					70.376					
90747					140.752					
90756					30.581					
90759					73.815					
A9575					0.143					
A9576					1.429					
A9577					1.9					
A9578					1.809					
A9579					1.579					
A9581					14.775					
A9585					0.344					
A9589					1226.197					
A9606										
J0121					3.492					
J0122					1.059					
J0129					43.246					
J0132					0.948					
J0133					0.063					
J0153					0.437					
J0171					0.728					
J0172					5.978					
J0178					902.997					
J0179					313.79					
J0180					207.861					
J0185					1.682					
J0202					2207.161					
J0219					72.568					
J0221					188.309					
J0222					100.784					
J0223					109.88					
J0248					5.512					
J0256					4.57					
J0257					5.183					
J0278					0.91					
J0280					6.822					
J0285					39.337					
J0287					10.31					
J0289					25.904					
J0290					0.762					
J0291					3.226					
J0295					2.632					
J0348					0.543					
J0360					6.645					
J0401					6.41					
J0456					3.117					
J0461					0.071					
J0475					182.286					
J0476					53.469					
J0480					4102.57					
J0485					3.784					
J0490					49.47					
J0491					16.16					
J0500					25.636					
J0515					14.599					
J0517					169.466					
J0558					13.173					
J0561					16.733					
J0565					39.899					
J0583					0.409					
J0584					402.428					
J0585					6.229					
J0586					8.627					
J0587					12.473					
J0588					5.052					
J0592					4.025					
J0594					1.387					
J0595					2.963					
J0596					31.609					
J0597					60.779					
J0598					60.721					
J0600					5708.594					
J0610					4.457					
J0630					1777.336					
J0636					0.69					
J0637					8.419					
J0638					118.727					
J0640					4.02					
J0641					0.266					
J0642					1.352					
J0670					3.137					
J0690					0.72					
J0691					0.724					
J0692					1.74					
J0694					5.311					
J0695					6.351					
J0696					0.504					
J0697					2.184					
J0702					6.815					
J0712					3.742					
J0713					1.937					
J0714					91.642					
J0717					5.41					
J0720					35.991					
J0725					23.476					
J0735					22.385					
J0740					617.571					
J0741					21.063					
J0742					2.384					
J0743					8.186					
J0744					1.284					
J0770					14.65					
J0775					62.408					
J0780					4.194					
J0791					124.623					
J0800					3932.516					
J0834					31.057					
J0840					2498.303					
J0841					1083.262					
J0850					1666.708					
J0875					15.162					
J0878					0.044					
J0881					3.159					
J0882					3.159					
J0885					8.37					
J0887					1.556					
J0888					1.556					
J0894					1.415					
J0895					7.928					
J0896					37.931					
J0897					22.51					
J1000					26.454					
J1020					1.491					
J1030					7.452					
J1040					11.591					
J1071					0.029					
J1100					0.125					
J1110					58.1					
J1120					22.486					
J1160					20.58					
J1162					4294.082					
J1165					0.453					
J1170					3.465					
J1190					156.701					
J1200					1.171					
J1201					15.081					
J1205					74.418					
J1212					636.542					
J1230					16.328					
J1240					8.372					
J1245					3.696					
J1250					6.537					
J1265					0.714					
J1270					0.323					
J1290					520.226					
J1300					227.704					
J1301					21.415					
J1303					223.358					
J1306					12.053					
J1322					262.674					
J1325					15.856					
J1335					15.238					
J1364					82.897					
J1380					10.359					
J1410					355.491					
J1430					456.864					
J1437					22.966					
J1439					1.141					
J1442					0.987					
J1447					0.394					
J1448					5.011					
J1450					2.614					
J1453					0.14					
J1454					430.016					
J1458					432.712					
J1459					46.702					
J1460					46.756					
J1551					12.721					
J1554					481.77					
J1555					14.9					
J1556					70.49					
J1557					51.074					
J1558					13.779					
J1559					12.363					
J1560					467.561					
J1561					44.668					
J1566					74.002					
J1568					42.102					
J1569					45.229					
J1570					43.717					
J1571					70.602					
J1572					39.87					
J1575					15.885					
J1580					2.662					
J1602					14.08					
J1610					170.332					
J1626					0.386					
J1627					6.073					
J1630					1.615					
J1631					7.778					
J1640					29.026					
J1642					0.017					
J1644					0.255					
J1645					12.686					
J1650					0.842					
J1652					1.216					
J1670					537.768					
J1720					17.874					
J1740					25.847					
J1743					542.61					
J1745					35.022					
J1746					69.728					
J1750					16.525					
J1756					0.204					
J1786					44.276					
J1817					8.467					
J1823					462.867					
J1885					0.636					
J1930					63.676					
J1931					36.108					
J1932					60.887					
J1940					0.632					
J1943					2.982					
J1944					2.973					
J1950					1477.548					
J1951					134.115					
J1953					0.1					
J1955					28.036					
J1956					1.07					
J1980					31.619					
J2001					0.025					
J2010					9.914					
J2020					4.186					
J2060					0.957					
J2150					4.347					
J2175					5.993					
J2182					29.312					
J2185					0.725					
J2210					20.396					
J2248					0.911					
J2250					0.177					
J2260					1.786					
J2270					2.969					
J2274					11.831					
J2278					9.065					
J2280					10.103					
J2300					3.139					
J2310					9.975					
J2315					3.74					
J2323					24.025					
J2350					60.082					
J2353					206.961					
J2354					1.117					
J2356					18.008					
J2357					38.652					
J2358					2.917					
J2360					4.073					
J2400					29.559					
J2405					0.086					
J2406					41.534					
J2407					25.805					
J2425					25.122					
J2426					13.275					
J2430					10.981					
J2469					1.15					
J2501					0.602					
J2506					131.414					
J2507					3143.504					
J2510					35.296					
J2515					20.37					
J2540					0.779					
J2543					1.479					
J2545					106.856					
J2550					2.935					
J2560					44.926					
J2562					402.6					
J2597					7.611					
J2675					1.036					
J2680					10.513					
J2690					102.454					
J2700					1.231					
J2704					0.144					
J2720					1.628					
J2724					15.065					
J2760					413.474					
J2765					1.06					
J2770					493.97					
J2777					38.063					
J2778					258.408					
J2779					80.867					
J2783					332.079					
J2785					61.345					
J2786					10.106					
J2788					23.193					
J2790					80.405					
J2791					4.706					
J2792					32.45					
J2794					11.586					
J2795					0.092					
J2796					88.996					
J2798					11.163					
J2800					7.225					
J2805					123.162					
J2820					55.443					
J2860					132.004					
J2916					1.945					
J2920					4.277					
J2930					5.742					
J2997					88.031					
J3000					39.862					
J3010					0.894					
J3032					16.411					
J3060					41.903					
J3090					1.744					
J3095					6.691					
J3101					143.872					
J3105					12.77					
J3111					9.8					
J3121					0.047					
J3145					1.816					
J3230					34.005					
J3240					1926.714					
J3241					321.882					
J3243					0.911					
J3245					139.28					
J3250					42.881					
J3260					2.601					
J3262					6.164					
J3285					55.356					
J3300					3.904					
J3301					1.092					
J3304					16.926					
J3315					373.785					
J3357					162.849					
J3358					12.36					
J3360					6.578					
J3370					3.232					
J3380					22.297					
J3385					358.895					
J3396					11.523					
J3410					11.336					
J3411					2.883					
J3415					9.66					
J3420					1.954					
J3430					3.306					
J3465					1.031					
J3471					0.495					
J3473					0.36					
J3475					0.761					
J3480					0.161					
J3485					1.511					
J3486					10.975					
J3489					8.368					
J7030					2.689					
J7040					1.345					
J7042					0.958					
J7050					0.672					
J7060					1.892					
J7070					3.784					
J7120					2.504					
J7170					49.759					
J7175					8.602					
J7177					1.088					
J7178					1.342					
J7179					1.802					
J7180					9.404					
J7181					16.207					
J7182					1.132					
J7183					1.159					
J7185					1.255					
J7186					1.148					
J7187					1.296					
J7188					3.201					
J7189					2.351					
J7190					1.13					
J7192					1.467					
J7193					1.225					
J7194					1.567					
J7195					1.63					
J7197					3.499					
J7198					2.2					
J7200					1.543					
J7201					3.362					
J7202					4.761					
J7203					4.159					
J7204					2.104					
J7205					2.155					
J7207					2.043					
J7208					2.16					
J7209					1.323					
J7210					1.403					
J7211					1.309					
J7212					2.113					
J7308					393.455					
J7311					338.625					
J7312					200.068					
J7313					490.947					
J7314					518.344					
J7318					9.266					
J7320					6.398					
J7321					76.958					
J7322					16.834					
J7323					130.886					
J7324					149.474					
J7325					10.136					
J7326					492.232					
J7327					756.932					
J7328					1.178					
J7329					9.719					
J7332					9.961					
J7336					3.236					
J7340					216.472					
J7342					29.84					
J7345					1.617					
J7351					206.333					
J7402					10.93					
J7500					12.567					
J7502					1.823					
J7503					1.564					
J7504					2782.171					
J7507					0.308					
J7508					0.525					
J7509					0.274					
J7510					0.225					
J7511					902.622					
J7512					0.015					
J7515					0.658					
J7516					62.088					
J7517					0.228					
J7518					1.066					
J7520					3.417					
J7525					233.604					
J7527					4.107					
J7605					3.107					
J7606					6.776					
J7608					7.394					
J7611					0.265					
J7612					0.301					
J7613					0.036					
J7614					0.047					
J7620					0.127					
J7626					0.964					
J7631					0.744					
J7639					50.161					
J7644					0.214					
J7674					0.812					
J7677					0.184					
J7682					23.25					
J7686					704.644					
J8501					3.536					
J8520					0.594					
J8521					1.268					
J8530					0.582					
J8540					0.109					
J8560					76.031					
J8610					0.242					
J8655					396.085					
J8670					1.735					
J8700					0.279					
J8705					104.341					
J9000					2.427					
J9017					15.371					
J9021					46.534					
J9022					82.066					
J9023					88.176					
J9025					0.503					
J9027					28.773					
J9030					2.846					
J9032					44.359					
J9033					16.53					
J9034					17.434					
J9035					69.722					
J9036					17.115					
J9037					44.245					
J9039					131.904					
J9040					24.301					
J9041					24.663					
J9042					205.756					
J9043					195.653					
J9044					8.374					
J9045					2.667					
J9047					44.027					
J9050					468.032					
J9055					69.093					
J9060					1.916					
J9061					18.898					
J9065					24.305					
J9070					21.923					
J9071					2.753					
J9100					1.02					
J9119					27.258					
J9120					557.404					
J9130					4.08					
J9144					46.763					
J9145					59.352					
J9150					46.553					
J9153					215.219					
J9155					4.077					
J9171					0.468					
J9173					77.955					
J9176					6.953					
J9177					32.554					
J9178					1.399					
J9179					125.68					
J9181					0.841					
J9185					92.214					
J9190					2.361					
J9198					23.565					
J9200					89.682					
J9201					3.676					
J9202					572.718					
J9203					214.279					
J9204					216.394					
J9205					60.045					
J9206					2.604					
J9207					116.738					
J9208					26.622					
J9209					1.531					
J9210					375.714					
J9211					37.736					
J9214					32.574					
J9217					166.075					
J9218					11.72					
J9223					184.216					
J9225					5166.292					
J9226					44066.82					
J9227					70.445					
J9228					163.104					
J9229					2443.305					
J9245					297.102					
J9247					503.5					
J9250					0.262					
J9260					2.621					
J9261					127.391					
J9262					3.646					
J9263					0.055					
J9264					12.19					
J9266					23577.008					
J9267					0.109					
J9268					2206.442					
J9269					308.806					
J9271					54.548					
J9272					220.751					
J9273					155.903					
J9280					54.294					
J9281					285.104					
J9293					53.338					
J9295					5.736					
J9298					180.642					
J9299					29.547					
J9301					67.354					
J9302					63.957					
J9303					139.67					
J9304					75.79					
J9305					47.747					
J9306					14.435					
J9307					321.088					
J9308					65.62					
J9309					118.114					
J9311					37.877					
J9312					82.251					
J9313					23.394					
J9316					69.85					
J9317					32.036					
J9319					32.787					
J9320					332.978					
J9325					60.62					
J9328					10.396					
J9330					31.88					
J9332					31.525					
J9340					299.066					
J9349					12.968					
J9351					1.109					
J9352					331.847					
J9353					44.169					
J9354					35.695					
J9355					84.401					
J9356					67.812					
J9357					1444.918					
J9358					25.214					
J9359					188.978					
J9360					3.91					
J9370					4.881					
J9371					3420.781					
J9390					9.271					
J9395					11.048					
J9400					7.127					
P9041					10.49					
P9045					52.45					
