SVC_CD|MODIFIER_1|MODIFIER_2|MODIFIER_3|MODIFIER_4|FEE|AS_OF_DATE|AGE_UNIT|FROM_AGE|THROUGH_AGE|PLACE_OF_SERVICE_CODE
J1434|||||3.021|||||
J1437|||||20.826|||||
J1439|||||1.127|||||
J1440|||||63.934|||||
J1442|||||0.983|||||
J1447|||||0.366|||||
J1448|||||5.388|||||
J1449|||||22.608|||||
J1450|||||3.577|||||
J1453|||||0.118|||||
J1454|||||632.875|||||
J1455|||||21.629|||||
J1456|||||1.214|||||
J1458|||||484.877|||||
J1459|||||49.179|||||
J1460|||||48.885|||||
J1551|||||14.335|||||
J1552|||||138.111|||||
J1554|||||496.683|||||
J1555|||||16.682|||||
J1556|||||77.298|||||
J1557|||||57.476|||||
J1558|||||14.283|||||
J1559|||||13.644|||||
J1560|||||488.853|||||
J1561|||||48.345|||||
J1566|||||81.011|||||
J1568|||||48.055|||||
J1569|||||45.129|||||
J1570|||||32.086|||||
J1571|||||65.146|||||
J1573|||||65.146|||||
J1575|||||17.565|||||
J1576|||||70.432|||||
J1580|||||2.467|||||
J1596|||||0.509|||||
J1598|||||1.659|||||
J1602|||||10.769|||||
J1610|||||190.763|||||
J1611|||||150.437|||||
J1626|||||0.261|||||
J1627|||||5.286|||||
J1628|||||70.427|||||
J1630|||||0.776|||||
J1631|||||4.611|||||
J1640|||||33.073|||||
J1642|||||0.018|||||
J1643|||||2.942|||||
J1644|||||0.219|||||
J1645|||||16.043|||||
J1650|||||0.516|||||
J1652|||||0.855|||||
J1670|||||575.76|||||
J1720|||||20.58|||||
J1740|||||22.219|||||
J1741|||||2.975|||||
J1743|||||542.574|||||
J1744|||||125.317|||||
J1745|||||30.523|||||
J1746|||||76.95|||||
J1747|||||61.428|||||
J1750|||||17.233|||||
J1756|||||0.237|||||
J1786|||||43.141|||||
J1790|||||8.565|||||
J1805|||||0.282|||||
J1806|||||0.41|||||
J1808|||||0.063|||||
J1811|||||6.668|||||
J1813|||||15.328|||||
J1817|||||2.491|||||
J1823|||||484.403|||||
J1836|||||0.026|||||
J1885|||||0.501|||||
J1920|||||0.419|||||
J1921|||||1.382|||||
J1930|||||39.551|||||
J1931|||||38.605|||||
J1932|||||25.422|||||
J1938|||||0.02|||||
J1939|||||0.569|||||
J1943|||||3.143|||||
J1944|||||3.259|||||
J1950|||||1670.296|||||
J1951|||||134.256|||||
J1952|||||52.378|||||
J1953|||||0.052|||||
J1954|||||220.743|||||
J1955|||||24.376|||||
J1956|||||1.025|||||
J1961|||||22.03|||||
J2002|||||0.003|||||
J2010|||||6.237|||||
J2020|||||3.472|||||
J2021|||||6.338|||||
J2060|||||1.565|||||
J2150|||||2.263|||||
J2175|||||10.136|||||
J2182|||||30.54|||||
J2183|||||1.604|||||
J2184|||||2.085|||||
J2185|||||0.431|||||
J2210|||||21.285|||||
J2246|||||0.638|||||
J2247|||||0.305|||||
J2248|||||0.282|||||
J2250|||||0.129|||||
J2251|||||0.17|||||
J2260|||||1.571|||||
J2267|||||47.566|||||
J2270|||||4.632|||||
J2272|||||6.637|||||
J2274|||||9.821|||||
J2277|||||25.218|||||
J2278|||||9.698|||||
J2280|||||8.574|||||
J2281|||||7.103|||||
J2300|||||3.08|||||
J2305|||||1.34|||||
J2310|||||9.213|||||
J2311|||||1.495|||||
J2315|||||4.123|||||
J2323|||||24.368|||||
J2327|||||14.859|||||
J2329|||||68.655|||||
J2350|||||57.807|||||
J2351|||||45.187|||||
J2353|||||204.592|||||
J2354|||||0.59|||||
J2356|||||17.767|||||
J2357|||||40.117|||||
J2358|||||2.917|||||
J2359|||||0.928|||||
J2360|||||12.328|||||
J2371|||||0.002|||||
J2372|||||0.175|||||
J2373|||||0.138|||||
J2401|||||0.039|||||
J2403|||||0.604|||||
J2404|||||0.089|||||
J2405|||||0.086|||||
J2406|||||42.765|||||
J2407|||||28.525|||||
J2425|||||33.991|||||
J2426|||||14.739|||||
J2427|||||12.672|||||
J2430|||||13.876|||||
J2468|||||59.905|||||
J2469|||||0.498|||||
J2501|||||0.808|||||
J2502|||||526.942|||||
J2506|||||19.981|||||
J2507|||||3565.318|||||
J2508|||||226.927|||||
J2540|||||0.775|||||
J2543|||||1.119|||||
J2545|||||79.497|||||
J2550|||||3.313|||||
J2560|||||29.436|||||
J2562|||||24.976|||||
J2597|||||4.488|||||
J2598|||||1.42|||||
J2599|||||1.332|||||
J2601|||||3.501|||||
J2675|||||0.659|||||
J2679|||||7.148|||||
J2680|||||8.828|||||
J2690|||||284.337|||||
J2700|||||0.636|||||
J2704|||||0.093|||||
J2720|||||1.398|||||
J2724|||||15.024|||||
J2760|||||449.299|||||
J2765|||||1.125|||||
J2777|||||34.722|||||
J2778|||||90.414|||||
J2779|||||79.737|||||
J2781|||||143.989|||||
J2782|||||107.444|||||
J2783|||||370.456|||||
J2785|||||4.411|||||
J2786|||||10.494|||||
J2788|||||23.618|||||
J2790|||||77.158|||||
J2791|||||4.884|||||
J2792|||||32.507|||||
J2794|||||10.499|||||
J2795|||||0.055|||||
J2798|||||12.154|||||
J2799|||||24.622|||||
J2800|||||6.359|||||
J2802|||||10.516|||||
J2804|||||0.142|||||
J2805|||||143.258|||||
J2820|||||59.883|||||
J2860|||||163.366|||||
J2865|||||0.056|||||
J2916|||||1.935|||||
J2919|||||0.251|||||
J2997|||||91.462|||||
J3000|||||25.589|||||
J3010|||||0.839|||||
J3032|||||19.321|||||
J3055|||||69.997|||||
J3060|||||40.642|||||
J3090|||||1.801|||||
J3095|||||7.09|||||
J3101|||||162.456|||||
J3105|||||1.413|||||
J3111|||||11.494|||||
J3121|||||0.052|||||
J3145|||||2.022|||||
J3230|||||29.038|||||
J3240|||||2078.711|||||
J3241|||||352.563|||||
J3243|||||0.302|||||
J3245|||||131.462|||||
J3246|||||3.549|||||
J3247|||||17.728|||||
J3250|||||50.038|||||
J3260|||||1.595|||||
J3262|||||5.881|||||
J3263|||||39.096|||||
J3285|||||56.834|||||
J3299|||||48.231|||||
J3300|||||25.016|||||
