HCPCS	EFF_DATE	RATE2022
0001U	20220101	720.0
0002M	20220101	503.4
0002U	20220101	25.0
0003M	20220101	503.4
0003U	20220101	950.0
0004M	20220101	79.0
0005U	20220101	760.0
0006M	20220101	150.0
0007M	20220101	375.0
0007U	20220101	114.43
0008U	20220101	597.91
0009U	20220101	107.0
0010U	20220101	427.26
0011M	20220101	760.0
0011U	20220101	114.43
0012M	20220101	760.0
0012U	20220101	2515.6
0013M	20220101	760.0
0013U	20220101	2515.6
0014M	20220101	176.19
0014U	20220101	2515.6
0015M	20220101	1305.37
0016M	20220101	3489.63
0016U	20220101	163.96
0017M	20220101	2510.21
0017U	20220101	91.66
0018M	20220101	0.0
0018U	20220101	3002.09
0019U	20220101	3675.0
0021U	20220101	760.0
0022U	20220101	1950.0
0023U	20220101	248.51
0024U	20220101	34.19
0025U	20220101	85.77
0026U	20220101	3600.0
0027U	20220101	121.91
0029U	20220101	742.27
0030U	20220101	134.13
0031U	20220101	174.81
0032U	20220101	174.81
0033U	20220101	349.62
0034U	20220101	466.17
0035U	20220101	540.99
0036U	20220101	4780.0
0037U	20220101	3500.0
0038U	20220101	29.6
0039U	20220101	13.74
0040U	20220101	409.9
0041U	20220101	17.21
0042U	20220101	17.21
0043U	20220101	14.86
0044U	20220101	14.86
0045U	20220101	3873.0
0046U	20220101	407.43
0047U	20220101	3873.0
0048U	20220101	2919.6
0049U	20220101	407.43
0050U	20220101	2916.6
0051U	20220101	193.71
0052U	20220101	33.86
0053U	20220101	2030.0
0054U	20220101	148.96
0055U	20220101	3240.0
0056U	20220101	2515.6
0058U	20220101	322.96
0059U	20220101	322.96
0060U	20220101	759.05
0061U	20220101	25.1
0062U	20220101	380.72
0063U	20220101	750.0
0064U	20220101	31.33
0065U	20220101	18.09
0066U	20220101	15.29
0067U	20220101	1897.0
0068U	20220101	142.63
0069U	20220101	380.0
0070U	20220101	676.37
0071U	20220101	600.0
0072U	20220101	450.91
0073U	20220101	450.91
0074U	20220101	450.91
0075U	20220101	450.91
0076U	20220101	450.91
0077U	20220101	43.43
0078U	20220101	450.91
0080U	20220101	3520.0
0082U	20220101	246.92
0083U	20220101	167.35
0084U	20220101	720.0
0086U	20220101	200.0
0087U	20220101	3159.42
0088U	20220101	3159.42
0089U	20220101	760.0
0090U	20220101	1950.0
0092U	20220101	2488.0
0093U	20220101	62.14
0094U	20220101	7582.2
0095U	20220101	771.98
0096U	20220101	35.09
0101U	20220101	1743.95
0102U	20220101	1303.95
0103U	20220101	1743.95
0105U	20220101	950.0
0106U	20220101	874.49
0107U	20220101	16.0
0108U	20220401	2350.0
0109U	20220101	142.63
0110U	20220101	27.11
0111U	20220101	682.29
0112U	20220101	356.13
0113U	20220101	760.0
0114U	20220101	1938.01
0115U	20220101	275.35
0116U	20220101	246.92
0117U	20220101	840.65
0118U	20220101	2753.25
0119U	20220101	83.76
0120U	20220101	2510.21
0121U	20220101	509.2
0122U	20220101	526.23
0123U	20220101	357.63
0129U	20220101	1303.95
0130U	20220101	584.9
0131U	20220101	710.0
0132U	20220101	741.64
0133U	20220101	690.29
0134U	20220101	748.39
0135U	20220101	700.56
0136U	20220101	407.43
0137U	20220101	282.88
0138U	20220101	468.33
0140U	20220101	156.75
0141U	20220101	156.75
0142U	20220101	156.75
0143U	20220101	114.43
0144U	20220101	114.43
0145U	20220101	114.43
