SVC_CD	MODIFIER_1	MODIFIER_2	MODIFIER_3	MODIFIER_4	FEE	AS_OF_DATE	AGE_UNIT	FROM_AGE	THROUGH_AGE	PLACE_OF_SERVICE_CODE
90371					141.115					
90375					285.652					
90377					250.98					
90586					144.479					
90632					70.541					
90662					73.403					
90670					257.989					
90671					253.56					
90672					27.788					
90674					34.172					
90675					322.765					
90677					298.036					
90682					73.403					
90686					22.35					
90687					10.439					
90688					20.878					
90694					77.359					
90714					18.828					
90715					39.086					
90732					133.472					
90739					160.284					
90740					158.152					
90743					75.145					
90744					30.77					
90746					70.376					
90747					140.752					
90756					32.374					
90759					73.815					
91304					148.2					
91318					65.55					
91319					87.78					
91320					131.1					
91321					145.92					
91322					145.92					
A9573					5.126					
A9575					0.128					
A9576					1.493					
A9577					1.821					
A9578					1.734					
A9579					1.509					
A9581					14.764					
A9585					0.347					
A9589					1321.841					
A9606										
J0121					3.75					
J0122					1.112					
J0129					42.84					
J0131					0.05					
J0132					0.77					
J0133					0.059					
J0134					0.05035876					
J0136					0.052					
J0137					0.066					
J0153					0.556					
J0171					0.812					
J0172					5.978					
J0173					1.886					
J0174					1.339					
J0177					341.749					
J0178					841.128					
J0179					325.679					
J0180					218.275					
J0185					1.666					
J0202					2347.582					
J0206					5.43					
J0218					376.58					
J0219					75.996					
J0221					197.303					
J0222					99.204					
J0223					112.02					
J0224					318.1					
J0225					4935.214					
J0248					6.058					
J0256					4.912					
J0257					5.395					
J0278					0.86					
J0280					8.836					
J0283					2.545					
J0285					38.574					
J0289					27.682					
J0290					0.997					
J0291					3.598					
J0295					2.123					
J0348					0.464					
J0360					5.556					
J0401					6.814					
J0402					5.807					
J0456					2.408					
J0457					2.575					
J0461					0.068					
J0475					177.873					
J0476					57.913					
J0480					4487.0					
J0485					3.87					
J0490					54.102					
J0491					17.135					
J0500					24.985					
J0515					16.448					
J0517					165.247					
J0558					17.368					
J0561					21.998					
J0565					39.872					
J0577					404.086					
J0578					1616.346					
J0583					0.246					
J0584					447.863					
J0585					6.319					
J0586					8.682					
J0587					13.035					
J0588					5.197					
J0592					3.934					
J0594					1.042					
J0595					3.578					
J0596					33.4					
J0597					64.427					
J0598					62.562					
J0612					0.049					
J0613					0.086					
J0630					1101.736					
J0637					6.629					
J0638					124.484					
J0640					5.137					
J0641					0.053					
J0642					1.709					
J0665					0.015					
J0670					3.557					
J0688					1.084					
J0689					1.241					
J0690					0.815					
J0692					1.337					
J0694					4.896					
J0695					7.289					
J0696					0.454					
J0697					1.894					
J0699					2.173					
J0701					5.76					
J0702					6.885					
J0703					4.951					
J0712					3.859					
J0713					1.657					
J0714					95.436					
J0717					4.624					
J0725					23.293					
J0735					17.021					
J0736					2.266					
J0737					2.207					
J0740					581.057					
J0741					22.617					
J0742					2.447					
J0743					7.561					
J0744					1.858					
J0770					12.841					
J0775					68.968					
J0780					3.944					
J0791					127.351					
J0801					3370.387					
J0802					3365.303					
J0834					28.593					
J0840					1979.873					
J0841					1047.293					
J0850					1808.222					
J0873					0.036					
J0874					0.069					
J0875					15.122					
J0877					0.062					
J0878					0.104					
J0881					2.901					
J0882					2.901					
J0885					8.273					
J0887					1.436					
J0888					1.384					
J0891					1.815					
J0892					1.815					
J0894					1.641					
J0895					9.021					
J0896					39.983					
J0897					25.189					
J1000					35.754					
J1010					0.134					
J1071					0.01					
J1100					0.117					
J1110					37.117443788436226					
J1120					26.234					
J1160					9.064					
J1162					4777.441					
J1165					0.64					
J1170					4.755					
J1190					91.09					
J1200					0.823					
J1201					14.971					
J1205					87.755					
J1212					680.161					
J1230					20.607					
J1240					8.857					
J1245					3.738					
J1250					9.261					
J1265					0.815					
J1270					0.835					
J1290					545.617					
J1300					225.703					
J1301					21.832					
J1302					17.769					
J1303					221.745					
J1304					150.838					
J1305					179.14					
J1306					12.119					
J1322					283.224					
J1323					181.673					
J1325					15.648					
J1335					11.898					
J1364					77.85					
J1380					8.656					
J1410					372.367					
J1430					474.444					
J1437					19.936					
J1439					1.094					
J1440					63.206					
J1442					0.994					
J1447					0.407					
J1448					5.287					
J1449					27.735					
J1450					2.772					
J1453					0.1305507761269085					
J1454					708.345					
J1456					2.043					
J1458					466.915					
J1459					47.858					
J1460					49.061					
J1551					13.8					
J1554					491.405					
J1555					15.827					
J1556					72.965					
J1557					55.009					
J1558					14.132					
J1559					12.907					
J1560					490.615					
J1561					48.883					
J1566					78.464					
J1568					46.98					
J1569					43.223					
J1570					44.095					
J1571					60.767					
J1575					16.941					
J1576					64.949					
J1580					2.733					
J1596					0.497					
J1602					11.801					
J1610					191.521					
J1611					128.88443670229333					
J1626					0.328					
J1627					5.424					
J1630					1.262					
J1631					6.747					
J1640					31.354					
J1642					0.017					
J1643					4.339					
J1644					0.273					
J1645					16.596					
J1650					0.619					
J1652					1.031					
J1670					578.781					
J1720					18.459					
J1740					31.713					
J1743					542.894					
J1745					31.671					
J1746					74.645					
J1747					60.148					
J1750					17.314					
J1756					0.229					
J1786					43.942					
J1805					0.221					
J1806					0.424					
J1811					7.423					
J1813					15.678					
J1817					7.556					
J1823					473.513					
J1836					0.025					
J1885					0.702					
J1920					0.165					
J1921					2.373					
J1930					48.001					
J1931					37.441					
J1932					44.024					
J1939					0.632					
J1940					0.608					
J1943					3.082					
J1944					3.123					
J1950					1576.119					
J1951					131.705					
J1952					60.754					
J1953					0.065					
J1954					281.572					
J1955					35.136					
J1956					0.962					
J1961					22.013					
J2001					0.027					
J2010					10.326					
J2020					3.622					
J2021					16.432					
J2060					0.962					
J2150					4.523					
J2175					6.9					
J2182					30.48					
J2184					2.02					
J2185					0.387					
J2210					20.87					
J2247					0.27					
J2248					0.704					
J2250					0.136					
J2251					0.26					
J2260					1.551					
J2270					4.456					
J2272					7.276					
J2274					14.434					
J2278					9.041					
J2280					8.765					
J2281					7.485203125					
J2300					2.821					
J2305					1.441					
J2310					8.057					
J2311					6.292					
J2315					3.967					
J2323					24.225					
J2327					15.003					
J2329					67.232					
J2350					58.756					
J2353					210.56					
J2354					1.122					
J2356					17.799					
J2357					36.806					
J2358					2.917					
J2359					0.956					
J2360					9.12					
J2372					0.174					
J2401					0.039					
J2403					0.664					
J2405					0.095					
J2406					40.895					
J2407					26.907					
J2426					14.279					
J2427					12.185					
J2430					14.097					
J2469					1.192					
J2501					0.7527372488735671					
J2506					109.754					
J2507					3391.914					
J2540					0.828					
J2543					1.05					
J2545					87.097					
J2550					3.099					
J2560					32.801					
J2562					123.579					
J2597					6.273					
J2598					1.884					
J2599					0.282					
J2675					0.705					
J2679					7.885					
J2680					9.72					
J2690					187.202					
J2700					1.125					
J2704					0.122					
J2720					2.127					
J2724					15.025					
J2760					444.317					
J2765					1.04					
J2777					35.441					
J2778					173.378					
J2779					80.374					
J2781					149.904					
J2782					111.3					
J2783					367.482					
J2785					7.051					
J2786					10.225					
J2788					21.878					
J2790					79.976					
J2791					4.796					
J2792					30.641					
J2794					12.18					
J2795					0.068					
J2796					96.382					
J2798					11.629					
J2799					24.408					
J2800					6.168					
J2805					129.743					
J2820					59.455					
J2860					151.308					
J2916					2.184					
J2919					0.273					
J2997					88.822					
J3000					23.062					
J3010					0.991					
J3032					18.048					
J3055					67.716					
J3060					45.0					
J3090					1.815					
J3095					7.131					
J3101					153.112					
J3105					6.087					
J3111					10.692					
J3121					0.05					
J3145					1.926					
J3230					27.936					
J3240					2022.366					
J3241					333.401					
J3243					0.667					
J3245					140.227					
J3246					4.103					
J3250					48.569					
J3260					2.553					
J3262					6.042					
J3285					54.549					
J3299					48.583					
J3301					1.083					
J3304					17.491					
J3315					416.69					
J3357					152.565					
J3358					12.494					
J3360					6.539					
J3370					2.578					
J3371					5.865					
J3372					6.401					
J3380					21.853					
J3385					367.841					
J3396					11.441					
J3401					2519.09					
J3410					13.869					
J3411					2.261					
J3415					15.002					
J3420					1.423					
J3425					0.009					
J3430					2.803					
J3465					1.102					
J3473					0.361					
J3475					0.643					
J3480					0.11					
J3485					1.511					
J3486					10.221					
J3489					6.935					
J7030					2.609					
J7040					1.304					
J7042					1.132					
J7050					0.652					
J7060					1.801					
J7070					3.603					
J7120					2.426					
J7170					50.842					
J7175					9.112					
J7177					1.416					
J7178					1.445					
J7179					1.869					
J7180					10.154					
J7181					17.104					
J7182					1.377					
J7183					1.258					
J7185					1.374					
J7186					1.186					
J7187					1.397					
J7188					3.221					
J7189					2.451					
J7190					1.11					
J7192					1.514					
J7193					1.323					
J7194					1.61					
J7195					1.752					
J7197					3.737					
J7198					2.287					
J7200					1.529					
J7201					3.465					
J7202					5.091					
J7203					4.474					
J7204					2.111					
J7205					2.206					
J7207					2.053					
J7208					2.336					
J7209					1.254					
J7210					1.455					
J7211					1.424					
J7212					2.154					
J7213					1.838					
J7214					4.63					
J7308					396.534					
J7312					205.595					
J7313					487.538					
J7314					527.084					
J7318					6.55					
J7320					5.163					
J7321					73.118					
J7322					17.509					
