SVC_CD|MODIFIER_1|FEE|AGE_UNIT|FROM_AGE|THROUGH_AGE|PLACE_OF_SERVICE_CODE
J0129||43.44||||
J0171||0.83||||
J0185||1.77||||
J0206||5.0||||
J0223||112.14||||
J0224||317.88||||
J0225||4926.0||||
J0278||0.77||||
J0290||0.78||||
J0330||1.18||||
J0360||4.04||||
J0401||7.07||||
J0402||5.95||||
J0457||1.97||||
J0461||0.11||||
J0475||174.58||||
J0476||43.55||||
J0490||54.15||||
J0500||15.87||||
J0515||16.56||||
J0517||167.3||||
J0561||24.37||||
J0577||429.16||||
J0578||1716.62||||
J0584||469.58||||
J0585||6.41||||
J0586||8.63||||
J0587||12.99||||
J0588||5.34||||
J0595||4.06||||
J0630||1173.06||||
J0638||127.81||||
J0640||4.07||||
J0670||3.49||||
J0690||0.81||||
J0694||4.51||||
J0696||0.44||||
J0702||7.4||||
J0717||4.65||||
J0725||19.18||||
J0735||18.37||||
J0736||2.47||||
J0737||2.82||||
J0741||22.9||||
J0780||3.66||||
J0801||3750.08||||
J0802||3416.97||||
J0834||25.09||||
J0881||3.04||||
J0882||3.04||||
J0885||7.53||||
J0887||1.21||||
J0888||1.16||||
J0895||6.78||||
J0896||40.62||||
J0897||26.96||||
J1000||38.65||||
J1010||0.12||||
J1120||23.65||||
J1160||15.72||||
J1171||0.09||||
J1200||0.75||||
J1205||39.9||||
J1230||20.85||||
J1290||565.83||||
J1304||153.66||||
J1306||12.19||||
J1323||178.85||||
J1335||10.42||||
J1380||7.51||||
J1410||382.79||||
J1447||0.39||||
J1449||22.75||||
J1460||49.85||||
J1560||498.52||||
J1571||68.66||||
J1575||17.5||||
J1580||2.74||||
J1596||0.51||||
J1598||1.8||||
J1610||192.3||||
J1611||108.93||||
J1627||5.71||||
J1628||95.13||||
J1630||1.03||||
J1631||6.78||||
J1643||3.73||||
J1644||0.22||||
J1650||0.57||||
J1670||581.78||||
J1720||19.4||||
J1740||27.14||||
J1750||17.67||||
J1790||9.68||||
J1811||7.41||||
J1815||0.39||||
J1826||2007.19||||
J1885||0.68||||
J1930||49.97||||
J1932||36.8||||
J1940||0.4||||
J1941||2368.58||||
J1943||3.19||||
J1944||3.23||||
J1950||1617.65||||
J1951||140.62||||
J1952||55.0||||
J1961||21.99||||
J2003||0.04||||
J2004||0.03||||
J2010||9.36||||
J2060||1.46||||
J2175||6.52||||
J2182||30.44||||
J2210||22.44||||
J2250||0.13||||
J2251||0.18||||
J2267||39.54||||
J2274||10.46||||
J2278||9.65||||
J2300||3.61||||
J2310||8.73||||
J2311||1.5||||
J2315||4.12||||
J2353||214.88||||
J2354||0.86||||
J2356||18.11||||
J2357||38.29||||
J2359||0.92||||
J2360||8.79||||
J2407||28.46||||
J2426||14.76||||
J2427||12.66||||
J2506||31.14||||
J2540||1.01||||
J2550||3.31||||
J2560||31.38||||
J2562||50.47||||
J2590||2.63||||
J2598||1.62||||
J2599||1.33||||
J2679||7.35||||
J2680||10.21||||
J2760||367.12||||
J2765||0.99||||
J2788||24.04||||
J2790||80.14||||
J2791||4.8||||
J2794||11.3||||
J2798||12.19||||
J2799||24.77||||
J2800||7.25||||
J2801||11.25||||
J2820||60.28||||
J3010||0.9||||
J3055||67.65||||
J3111||11.17||||
J3145||1.95||||
J3230||27.71||||
J3240||2073.34||||
J3245||135.92||||
J3260||2.27||||
J3262||5.96||||
J3301||0.9||||
J3315||466.73||||
J3357||159.91||||
J3360||5.83||||
J3380||22.26||||
J3410||12.41||||
J3420||1.15||||
J3430||2.51||||
J3475||0.47||||
J3486||7.43||||
J7170||52.82||||
J9021||52.79||||
J9025||0.32||||
J9040||24.68||||
J9041||1.57||||
J9049||1.49||||
J9100||0.77||||
J9144||51.41||||
J9155||4.18||||
J9217||176.51||||
J9260||2.72||||
J9266||27070.53||||
J9311||36.94||||
J9316||64.58||||
J9321||54.17||||
J9333||22.8||||
J9356||63.79||||
J9380||31.98||||
J9394||53.0||||
J9395||7.51||||
Q4081||0.75||||
Q5101||0.36||||
Q5105||0.76||||
Q5106||7.62||||
Q5108||135.53||||
Q5110||0.27||||
Q5111||143.38||||
Q5122||96.55||||
Q5125||0.47||||
Q5127||305.66||||
Q5130||186.19||||
Q5135||4.82||||
Q9991||1943.06||||
Q9992||1943.06||||
S0080||138.99||||
S0132||72.92||||
S5552||0.32||||
S5566||46.03||||
S5571||61.68||||
