SVC_CD|Modifier_1|FEE|ASOFDATE
G0076||52.09|20230101
G0077||77.58|20230101
G0078||128.87|20230101
G0079||169.86|20230101
G0080||222.22|20230101
G0081||50.94|20230101
G0082||82.97|20230101
G0083||131.48|20230101
G0084||186.02|20230101
G0085||222.22|20230101
G0086||80.66|20230101
G0087||112.34|20230101
G0101||43.31|20230101
G0102||26.51|20230101
G0104||217.5|20230101
G0105||383.8|20230101
G0105|53|191.7|20230101
G0106||261.26|20230101
G0106|TC|197.77|20230101
G0106|26|63.49|20230101
G0108||59.47|20230101
G0109||16.94|20230101
G0117||72.96|20230101
G0118||48.97|20230101
G0120||261.26|20230101
G0120|TC|197.77|20230101
G0120|26|63.49|20230101
G0121||384.03|20230101
G0121|53|191.93|20230101
G0124||25.69|20230101
G0127||26.96|20230101
G0128||10.64|20230101
G0130||41.34|20230101
G0130|TC|29.85|20230101
G0130|26|11.49|20230101
G0141||25.69|20230101
G0166||124.2|20230101
G0168||146.26|20230101
G0179||46.21|20230101
G0180||57.87|20230101
G0181||112.4|20230101
G0182||113.2|20230101
G0237||12.64|20230101
G0238||12.24|20230101
G0239||15.04|20230101
G0245||70.38|20230101
G0246||42.94|20230101
G0247||97.11|20230101
G0248||115.79|20230101
G0249||80.28|20230101
G0250||9.3|20230101
G0268||58.38|20230101
G0270||35.5|20230101
G0271||18.54|20230101
G0276||388.07|20230101
G0277||202.97|20230101
G0278||13.7|20230101
G0279||59.43|20230101
G0279|TC|28.81|20230101
G0279|26|30.62|20230101
G0281||13.3|20230101
G0283||13.3|20230101
G0288||46.36|20230101
G0289||88.69|20230101
G0296||30.24|20230101
G0316||33.77|20230101
G0317||33.77|20230101
G0318||32.97|20230101
G0323||46.98|20230101
G0329||12.73|20230101
G0341||1903.95|20230101
G0342||790.81|20230101
G0343||1292.15|20230101
G0372||9.35|20230101
G0396||37.16|20230101
G0397||72.06|20230101
G0402||180.33|20230101
G0403||15.99|20230101
G0404||7.44|20230101
G0405||8.55|20230101
G0406||43.59|20230101
G0407||76.39|20230101
G0408||111.43|20230101
G0409||27.05|20230101
G0412||780.67|20230101
G0413||1141.26|20230101
G0414||1078.12|20230101
G0415||1460.0|20230101
G0416||408.57|20230101
G0416|TC|221.85|20230101
G0416|26|186.72|20230101
G0420||116.2|20230101
G0421||27.94|20230101
G0422||131.46|20230101
G0423||131.46|20230101
G0425||97.04|20230101
G0426||137.19|20230101
G0427||195.24|20230101
G0429||109.05|20230101
G0438||179.93|20230101
G0439||141.66|20230101
G0442||20.91|20230101
G0443||27.4|20230101
G0444||20.91|20230101
G0445||28.6|20230101
G0446||27.8|20230101
G0447||27.4|20230101
G0451||12.64|20230101
G0452||53.48|20230101
G0452|TC|3.44|20230101
G0452|26|50.04|20230101
G0453||33.82|20230101
G0454||9.3|20230101
G0455||145.85|20230101
G0459||43.6|20230101
G0473||13.44|20230101
G0500||65.98|20230101
G0506||67.7|20230101
G0508||217.18|20230101
G0509||198.57|20230101
G0513||67.8|20230101
G0514||67.8|20230101
G0516||226.39|20230101
G0517||250.38|20230101
G0518||439.58|20230101
G2001||52.09|20230101
G2002||77.58|20230101
G2003||128.87|20230101
G2004||169.86|20230101
G2005||222.22|20230101
G2006||50.94|20230101
G2007||82.97|20230101
G2008||131.48|20230101
G2009||186.02|20230101
G2010||13.3|20230101
G2011||17.55|20230101
G2012||15.17|20230101
G2013||222.22|20230101
G2014||80.66|20230101
G2015||112.34|20230101
G2082||977.29|20230101
G2083||1389.9|20230101
G2086||417.73|20230101
G2087||375.09|20230101
G2088||66.69|20230101
G2212||34.17|20230101
G2213||69.29|20230101
G2214||64.55|20230101
G2250||13.3|20230101
G2251||15.17|20230101
G2252||28.34|20230101
G3002||86.42|20230101
G3003||31.54|20230101
G6001||212.19|20230101
G6001|TC|177.93|20230101
G6001|26|34.26|20230101
G6002||86.71|20230101
G6002|TC|64.67|20230101
G6002|26|22.04|20230101
G6003||182.73|20230101
G6004||154.31|20230101
G6005||154.71|20230101
G6006||153.91|20230101
G6007||284.78|20230101
G6008||212.98|20230101
G6009||212.18|20230101
G6010||210.98|20230101
G6011||284.21|20230101
G6012||281.01|20230101
G6013||281.81|20230101
G6014||280.21|20230101
G6015||430.36|20230101
G6016||429.66|20230101
G9157||96.78|20230101
G9187||52.82|20230101
G9481||18.11|20230101
G9482||34.23|20230101
G9483||53.39|20230101
G9484||89.94|20230101
G9485||117.56|20230101
G9486||18.11|20230101
G9487||36.09|20230101
G9488||55.47|20230101
G9489||78.1|20230101
G9490||52.59|20230101
G9685||195.94|20230101
G9868||27.84|20230101
G9869||37.24|20230101
G9870||46.63|20230101
G9978||29.71|20230101
G9979||50.64|20230101
G9980||80.6|20230101
G9981||134.36|20230101
G9982||179.19|20230101
G9983||29.71|20230101
G9984||58.1|20230101
G9985||88.29|20230101
G9986||127.33|20230101
G9987||52.82|20230101
P3001||25.69|20230101
Q0035||19.59|20230101
Q0035|TC|11.04|20230101
Q0035|26|8.55|20230101
Q0091||49.36|20230101
Q0092||29.45|20230101
0446T||3763.24|20230101
0447T||109.33|20230101
0448T||3739.75|20230101
0503T||1063.59|20230101
0509T||87.63|20230101
0509T|TC|65.07|20230101
0509T|26|22.56|20230101
10004||54.82|20230101
10005||152.43|20230101
10006||64.75|20230101
10007||343.57|20230101
10008||163.5|20230101
10009||507.61|20230101
10010||274.77|20230101
10021||114.35|20230101
10030||761.22|20230101
10035||433.56|20230101
10036||364.09|20230101
10040||133.26|20230101
10060||142.11|20230101
10061||237.14|20230101
10080||293.82|20230101
10081||393.83|20230101
10120||172.49|20230101
10121||296.73|20230101
10140||191.33|20230101
10160||146.72|20230101
10180||296.06|20230101
11000||65.44|20230101
11001||30.58|20230101
11004||581.98|20230101
11005||786.58|20230101
11006||714.78|20230101
11008||277.27|20230101
11010||510.08|20230101
11011||555.89|20230101
11012||724.71|20230101
11042||147.21|20230101
11043||256.58|20230101
11044||338.36|20230101
11045||43.68|20230101
11046||78.3|20230101
11047||128.85|20230101
11055||83.55|20230101
11056||95.58|20230101
11057||103.6|20230101
11102||117.45|20230101
11103||57.78|20230101
11104||145.28|20230101
11105||67.89|20230101
11106||180.03|20230101
11107||82.06|20230101
11200||103.71|20230101
11201||19.83|20230101
11300||117.77|20230101
11301||140.51|20230101
11302||157.97|20230101
11303||174.44|20230101
11305||121.92|20230101
11306||141.4|20230101
11307||159.42|20230101
11308||166.87|20230101
11310||134.63|20230101
11311||157.14|20230101
11312||178.88|20230101
11313||206.18|20230101
11400||147.38|20230101
11401||178.42|20230101
11402||195.77|20230101
11403||223.62|20230101
11404||252.89|20230101
11406||352.99|20230101
11420||146.07|20230101
11421||181.83|20230101
11422||203.28|20230101
11423||230.48|20230101
11424||264.17|20230101
11426||364.02|20230101
11440||165.18|20230101
11441||198.16|20230101
11442||219.45|20230101
11443||256.76|20230101
11444||315.79|20230101
11446||422.75|20230101
11450||491.93|20230101
11451||597.54|20230101
11462||477.37|20230101
11463||606.68|20230101
11470||519.86|20230101
11471||611.65|20230101
11600||225.55|20230101
11601||259.57|20230101
11602||277.74|20230101
11603||314.42|20230101
11604||349.45|20230101
11606||496.24|20230101
11620||226.7|20230101
11621||260.95|20230101
