SVC_CD|Modifier_1|FEE|ASOFDATE
G0011||23.12|20240101
G0013||8.97|20240101
G0017||189.37|20240101
G0018||94.8|20240101
G0019||51.36|20240101
G0022||35.82|20240101
G0023||51.36|20240101
G0024||35.82|20240101
G0101||28.23|20240101
G0102||8.97|20240101
G0104||59.06|20240101
G0105||187.04|20240101
G0105|53|93.71|20240101
G0121||187.25|20240101
G0121|53|93.93|20240101
G0127||7.47|20240101
G0136||9.36|20240101
G0140||51.36|20240101
G0146||35.82|20240101
G0168||14.41|20240101
G0245||40.49|20240101
G0246||20.19|20240101
G0247||21.87|20240101
G0268||33.65|20240101
G0270||28.89|20240101
G0271||16.36|20240101
G0296||25.86|20240101
G0316||31.03|20240101
G0317||31.03|20240101
G0318||30.47|20240101
G0323||44.53|20240101
G0341||303.01|20240101
G0396||32.2|20240101
G0397||65.21|20240101
G0402||134.74|20240101
G0429||70.47|20240101
G0442||9.36|20240101
G0443||23.12|20240101
G0444||9.36|20240101
G0445||23.12|20240101
G0446||23.5|20240101
G0447||23.12|20240101
G0455||71.46|20240101
G0473||11.81|20240101
G0500||5.55|20240101
G0506||45.23|20240101
G0513||60.77|20240101
G0514||61.16|20240101
G0516||99.9|20240101
G0517||113.78|20240101
G0518||185.72|20240101
G2010||9.36|20240101
G2012||13.09|20240101
G2082||35.68|20240101
G2083||35.68|20240101
G2086||411.89|20240101
G2087||396.15|20240101
G2088||39.07|20240101
G2212||32.02|20240101
G2213||61.13|20240101
G2214||39.33|20240101
G2250||9.36|20240101
G2251||13.09|20240101
G2252||25.57|20240101
G3002||76.24|20240101
G3003||26.56|20240101
G9978||28.64|20240101
G9979||48.44|20240101
G9980||77.46|20240101
G9981||130.53|20240101
G9982||174.35|20240101
G9983||28.64|20240101
G9984||56.41|20240101
G9985||85.53|20240101
G9986||124.77|20240101
Q0091||18.67|20240101
0446T||58.0|20240101
0447T||68.03|20240101
0448T||96.73|20240101
10004||43.59|20240101
10005||73.38|20240101
10006||50.45|20240101
10007||89.51|20240101
10008||50.2|20240101
10009||108.51|20240101
10010||70.37|20240101
10021||55.41|20240101
10030||134.25|20240101
10035||83.98|20240101
10036||42.31|20240101
10040||53.62|20240101
10060||116.19|20240101
10061||197.2|20240101
10080||113.43|20240101
10081||178.45|20240101
10120||114.68|20240101
10121||192.77|20240101
10140||126.51|20240101
10160||103.51|20240101
10180||188.08|20240101
11000||27.81|20240101
11001||14.98|20240101
11010||285.53|20240101
11011||301.69|20240101
11012||421.67|20240101
11042||62.66|20240101
11043||156.56|20240101
11044||227.73|20240101
11045||25.09|20240101
11046||54.54|20240101
11047||96.21|20240101
11055||15.5|20240101
11056||21.91|20240101
11057||28.71|20240101
11102||38.77|20240101
11103||22.53|20240101
11104||47.83|20240101
11105||26.08|20240101
11106||57.62|20240101
11107||31.25|20240101
11200||83.7|20240101
11201||16.58|20240101
11300||34.82|20240101
11301||52.51|20240101
11302||61.25|20240101
11303||72.87|20240101
11305||37.67|20240101
11306||49.66|20240101
11307||63.4|20240101
11308||70.41|20240101
11310||46.61|20240101
11311||64.3|20240101
11312||76.1|20240101
11313||98.45|20240101
11400||92.06|20240101
11401||114.2|20240101
11402||124.43|20240101
11403||160.93|20240101
11404||175.58|20240101
11406||260.54|20240101
11420||89.03|20240101
11421||116.92|20240101
11422||146.52|20240101
11423||168.32|20240101
11424||192.31|20240101
11426||280.21|20240101
11440||118.19|20240101
11441||144.76|20240101
11442||158.71|20240101
11443||191.57|20240101
11444||238.96|20240101
11446||332.64|20240101
11450||278.12|20240101
11451||348.82|20240101
11462||265.58|20240101
11463||351.45|20240101
11470||303.42|20240101
11471||370.39|20240101
11600||130.34|20240101
11601||157.38|20240101
11602||171.07|20240101
11603||203.09|20240101
11604||222.36|20240101
11606||325.48|20240101
11620||131.27|20240101
11621||157.93|20240101
11622||178.95|20240101
11623||219.15|20240101
11624||247.75|20240101
11626||299.51|20240101
11640||135.34|20240101
11641||164.65|20240101
11642||191.72|20240101
11643||237.43|20240101
11644||292.66|20240101
11646||400.3|20240101
11719||7.47|20240101
11720||14.1|20240101
11721||23.64|20240101
11730||55.01|20240101
11732||16.89|20240101
11740||35.15|20240101
11750||108.15|20240101
11755||61.56|20240101
11760||115.75|20240101
11762||196.45|20240101
11765||100.45|20240101
11770||192.8|20240101
11771||471.89|20240101
11772||611.57|20240101
11900||30.76|20240101
11901||46.79|20240101
11920||118.59|20240101
11921||135.44|20240101
11922||29.23|20240101
11950||52.94|20240101
11951||74.11|20240101
11952||104.06|20240101
11954||113.56|20240101
11976||92.92|20240101
11980||55.65|20240101
11981||62.92|20240101
11982||73.38|20240101
11983||103.57|20240101
12001||44.8|20240101
12002||58.48|20240101
12004||72.77|20240101
12005||92.53|20240101
12006||113.55|20240101
12007||141.55|20240101
12011||55.14|20240101
12013||56.56|20240101
12014||73.12|20240101
12015||91.7|20240101
12016||124.4|20240101
12020||198.21|20240101
12021||149.51|20240101
12031||161.23|20240101
12032||202.79|20240101
12034||215.99|20240101
12035||251.48|20240101
12036||291.02|20240101
12037||337.0|20240101
12041||153.18|20240101
