SVC_CD|MODIFIER_1|MODIFIER_2|MODIFIER_3|MODIFIER_4|FEE|AS_OF_DATE|AGE_UNIT|FROM_AGE|THROUGH_AGE|PLACE_OF_SERVICE_CODE
A4216|||||0.62|20250401||||
A4217|||||3.72|20250401||||
A4217|AU||||3.72|20250401||||
A4221|||||25.19|20250401||||
A4222|||||47.78|20250401||||
A4224|||||25.19|20250401||||
A4225|||||3.38|20250401||||
A4233|NU||||0.51|20250401||||
A4234|NU||||2.36|20250401||||
A4235|NU||||1.0|20250401||||
A4236|NU||||1.16|20250401||||
A4238|KF||||275.21|20250401||||
A4239|||||267.92|20250401||||
A4239|KF||||311.74|20250401||||
A4253|NU||||8.32|20250401||||
A4255|||||5.74|20250401||||
A4256|||||3.38|20250401||||
A4257|||||17.83|20250401||||
A4258|||||2.12|20250401||||
A4259|||||1.42|20250401||||
A4265|||||4.76|20250401||||
A4271|||||33.43|20250401||||
A4280|||||7.24|20250401||||
A4310|||||10.79|20250401||||
A4311|||||20.7|20250401||||
A4312|||||25.2|20250401||||
A4313|||||25.88|20250401||||
A4314|||||35.32|20250401||||
A4315|||||36.85|20250401||||
A4316|||||39.68|20250401||||
A4320|||||6.34|20250401||||
A4321|||||0.0|20250401||||
A4322|||||4.26|20250401||||
A4326|||||13.05|20250401||||
A4327|||||62.32|20250401||||
A4328|||||14.58|20250401||||
A4330|||||9.64|20250401||||
A4331|||||4.44|20250401||||
A4332|||||0.15|20250401||||
A4333|||||3.1|20250401||||
A4334|||||6.87|20250401||||
A4336|||||2.01|20250401||||
A4338|||||17.14|20250401||||
A4340|||||39.22|20250401||||
A4341|||||340.93|20250401||||
A4342|||||860.84|20250401||||
A4344|||||22.36|20250401||||
A4346|||||26.54|20250401||||
A4349|||||2.81|20250401||||
A4351|||||2.15|20250401||||
A4352|||||8.97|20250401||||
A4353|||||9.79|20250401||||
A4354|||||16.5|20250401||||
A4355|||||12.46|20250401||||
A4356|||||63.75|20250401||||
A4357|||||13.57|20250401||||
A4358|||||9.14|20250401||||
A4360|||||0.69|20250401||||
A4361|||||25.65|20250401||||
A4362|||||4.77|20250401||||
A4363|||||3.31|20250401||||
A4364|||||3.49|20250401||||
A4366|||||1.8|20250401||||
A4367|||||9.75|20250401||||
A4368|||||0.35|20250401||||
A4369|||||2.88|20250401||||
A4371|||||5.02|20250401||||
A4372|||||5.87|20250401||||
A4373|||||8.76|20250401||||
A4375|||||23.99|20250401||||
A4376|||||66.48|20250401||||
A4377|||||5.99|20250401||||
A4378|||||42.96|20250401||||
A4379|||||20.98|20250401||||
A4380|||||52.16|20250401||||
A4381|||||6.46|20250401||||
A4382|||||34.4|20250401||||
A4383|||||39.38|20250401||||
A4384|||||13.42|20250401||||
A4385|||||7.12|20250401||||
A4387|||||3.14|20250401||||
A4388|||||6.09|20250401||||
A4389|||||8.67|20250401||||
A4390|||||13.41|20250401||||
A4391|||||9.87|20250401||||
A4392|||||11.42|20250401||||
A4393|||||12.63|20250401||||
A4394|||||3.62|20250401||||
A4395|||||0.05|20250401||||
A4396|||||56.56|20250401||||
A4398|||||19.31|20250401||||
A4399|||||14.57|20250401||||
A4400|||||68.28|20250401||||
A4402|||||2.23|20250401||||
A4404|||||2.34|20250401||||
A4405|||||4.77|20250401||||
A4406|||||8.0|20250401||||
A4407|||||12.24|20250401||||
A4408|||||13.79|20250401||||
A4409|||||8.67|20250401||||
A4410|||||12.63|20250401||||
A4411|||||7.12|20250401||||
A4412|||||3.78|20250401||||
A4413|||||7.7|20250401||||
A4414|||||6.87|20250401||||
A4415|||||8.38|20250401||||
A4416|||||3.85|20250401||||
A4417|||||5.21|20250401||||
A4418|||||2.53|20250401||||
A4419|||||2.41|20250401||||
A4420|||||0.0|20250401||||
A4422|||||0.15|20250401||||
A4423|||||2.59|20250401||||
A4424|||||6.65|20250401||||
A4425|||||5.0|20250401||||
A4426|||||3.81|20250401||||
A4427|||||3.9|20250401||||
A4428|||||9.11|20250401||||
A4429|||||11.53|20250401||||
A4430|||||11.9|20250401||||
A4431|||||8.67|20250401||||
A4432|||||5.01|20250401||||
A4433|||||4.69|20250401||||
A4434|||||5.25|20250401||||
A4435|||||8.05|20250401||||
A4436|||||22.77|20250401||||
A4437|||||22.77|20250401||||
A4438|||||1.93|20250401||||
A4450|AU||||0.1|20250401||||
A4450|AV||||0.1|20250401||||
A4450|AW||||0.14|20250401||||
A4452|AU||||0.49|20250401||||
A4452|AV||||0.49|20250401||||
A4452|AW||||0.53|20250401||||
A4455|||||1.99|20250401||||
A4456|||||0.34|20250401||||
A4461|||||4.61|20250401||||
A4463|||||18.6|20250401||||
A4481|||||0.51|20250401||||
A4483|||||0.0|20250401||||
A4541|||||39.61|20250401||||
A4542|||||516.52|20250401||||
A4544|||||6.22|20250401||||
A4545|||||40.57|20250401||||
A4556|||||14.42|20250401||||
A4557|||||12.13|20250401||||
A4558|||||7.62|20250401||||
A4559|||||0.13|20250401||||
A4561|||||27.87|20250401||||
A4562|||||69.42|20250401||||
A4563|||||1608.14|20250401||||
A4565|||||10.76|20250401||||
A4593|RR||||44.01|20250401||||
A4594|NU||||3034.43|20250401||||
A4595|||||11.1|20250401||||
A4596|||||39.61|20250401||||
A4602|NU||||5.21|20250401||||
A4604|NU||||49.33|20250401||||
A4605|NU||||22.92|20250401||||
A4608|||||70.04|20250401||||
A4614|||||33.23|20250401||||
A4615|||||1.02|20250401||||
A4616|||||0.08|20250401||||
A4617|||||4.33|20250401||||
A4618|NU||||12.43|20250401||||
A4618|RR||||1.44|20250401||||
A4618|UE||||9.32|20250401||||
A4619|NU||||2.5|20250401||||
A4620|||||0.89|20250401||||
A4623|||||7.79|20250401||||
A4624|NU||||3.69|20250401||||
A4625|||||8.55|20250401||||
A4626|||||3.78|20250401||||
A4628|NU||||5.1|20250401||||
A4629|||||6.46|20250401||||
A4630|NU||||7.4|20250401||||
A4633|NU||||57.34|20250401||||
A4635|NU||||7.14|20250401||||
A4635|RR||||0.97|20250401||||
A4635|UE||||4.76|20250401||||
A4636|NU||||3.86|20250401||||
A4636|NU|KE|||0.0|20250401||||
A4636|RR||||0.39|20250401||||
A4636|RR|KE|||0.0|20250401||||
A4636|UE||||2.9|20250401||||
A4636|UE|KE|||0.0|20250401||||
A4637|NU||||2.14|20250401||||
A4637|NU|KE|||0.0|20250401||||
A4637|RR||||0.22|20250401||||
A4637|RR|KE|||0.0|20250401||||
A4637|UE||||1.61|20250401||||
A4637|UE|KE|||0.0|20250401||||
A4638|NU||||0.0|20250401||||
A4638|RR||||0.0|20250401||||
A4638|UE||||0.0|20250401||||
A4639|RR||||40.14|20250401||||
A4640|NU||||56.58|20250401||||
A4640|RR||||5.66|20250401||||
A4640|UE||||42.44|20250401||||
A5051|||||2.88|20250401||||
A5052|||||2.08|20250401||||
A5053|||||2.41|20250401||||
A5054|||||2.51|20250401||||
A5055|||||1.86|20250401||||
A5056|||||6.53|20250401||||
A5057|||||13.41|20250401||||
A5061|||||4.94|20250401||||
A5062|||||2.9|20250401||||
A5063|||||3.78|20250401||||
A5071|||||8.4|20250401||||
A5072|||||4.94|20250401||||
A5073|||||4.44|20250401||||
A5081|||||4.63|20250401||||
A5082|||||14.14|20250401||||
A5083|||||0.9|20250401||||
A5093|||||2.73|20250401||||
A5102|||||31.29|20250401||||
A5105|||||56.97|20250401||||
A5112|||||48.38|20250401||||
A5113|||||5.59|20250401||||
