SVC_CD|MODIFIER_1|MODIFIER_2|MODIFIER_3|MODIFIER_4|FEE|AS_OF_DATE|AGE_UNIT|FROM_AGE|THROUGH_AGE|PLACE_OF_SERVICE_CODE
A4625|||||8.35|10/1/24||||
A4626|||||3.7|10/1/24||||
A4628|NU||||4.98|10/1/24||||
A4629|||||6.31|10/1/24||||
A4630|NU||||7.23|10/1/24||||
A4633|NU||||56.0|10/1/24||||
A4635|NU||||6.97|10/1/24||||
A4635|RR||||0.95|10/1/24||||
A4635|UE||||4.65|10/1/24||||
A4636|NU||||3.75|10/1/24||||
A4636|NU|KE|||0.0|10/1/24||||
A4636|RR||||0.38|10/1/24||||
A4636|RR|KE|||0.0|10/1/24||||
A4636|UE||||2.81|10/1/24||||
A4636|UE|KE|||0.0|10/1/24||||
A4637|NU||||2.08|10/1/24||||
A4637|NU|KE|||0.0|10/1/24||||
A4637|RR||||0.21|10/1/24||||
A4637|RR|KE|||0.0|10/1/24||||
A4637|UE||||1.56|10/1/24||||
A4637|UE|KE|||0.0|10/1/24||||
A4638|NU||||0.0|10/1/24||||
A4638|RR||||0.0|10/1/24||||
A4638|UE||||0.0|10/1/24||||
A4639|RR||||39.2|10/1/24||||
A4640|NU||||54.93|10/1/24||||
A4640|RR||||5.49|10/1/24||||
A4640|UE||||41.2|10/1/24||||
A5051|||||2.81|10/1/24||||
A5052|||||2.03|10/1/24||||
A5053|||||2.35|10/1/24||||
A5054|||||2.45|10/1/24||||
A5055|||||1.82|10/1/24||||
A5056|||||6.38|10/1/24||||
A5057|||||13.1|10/1/24||||
A5061|||||4.82|10/1/24||||
A5062|||||2.83|10/1/24||||
A5063|||||3.69|10/1/24||||
A5071|||||8.2|10/1/24||||
A5072|||||4.82|10/1/24||||
A5073|||||4.34|10/1/24||||
A5081|||||4.52|10/1/24||||
A5082|||||13.8|10/1/24||||
A5083|||||0.88|10/1/24||||
A5093|||||2.67|10/1/24||||
A5102|||||30.56|10/1/24||||
A5105|||||55.63|10/1/24||||
A5112|||||47.25|10/1/24||||
A5113|||||5.47|10/1/24||||
A5114|||||12.21|10/1/24||||
A5120|AU||||0.33|10/1/24||||
A5120|AV||||0.31|10/1/24||||
A5121|||||10.17|10/1/24||||
A5122|||||17.52|10/1/24||||
A5126|||||1.52|10/1/24||||
A5131|||||21.63|10/1/24||||
A5200|||||15.41|10/1/24||||
A5500|||||86.77|10/1/24||||
A5501|||||260.22|10/1/24||||
A5503|||||44.25|10/1/24||||
A5504|||||44.25|10/1/24||||
A5505|||||44.25|10/1/24||||
A5506|||||44.25|10/1/24||||
A5507|||||44.25|10/1/24||||
A5512|||||35.39|10/1/24||||
A5513|||||52.81|10/1/24||||
A5514|||||52.81|10/1/24||||
A6010|||||42.26|10/1/24||||
A6011|||||3.12|10/1/24||||
A6021|||||28.69|10/1/24||||
A6022|||||28.69|10/1/24||||
A6023|||||259.67|10/1/24||||
A6024|||||8.44|10/1/24||||
A6154|||||19.6|10/1/24||||
A6196|||||10.04|10/1/24||||
A6197|||||22.44|10/1/24||||
A6199|||||7.2|10/1/24||||
A6203|||||4.6|10/1/24||||
A6204|||||8.49|10/1/24||||
A6207|||||10.02|10/1/24||||
A6209|||||10.2|10/1/24||||
A6210|||||27.19|10/1/24||||
A6211|||||40.08|10/1/24||||
A6212|||||13.25|10/1/24||||
A6214|||||14.05|10/1/24||||
A6216|||||0.05|10/1/24||||
A6217|||||0.0|10/1/24||||
A6219|||||1.3|10/1/24||||
A6220|||||3.54|10/1/24||||
A6222|||||2.91|10/1/24||||
A6223|||||3.31|10/1/24||||
A6224|||||4.91|10/1/24||||
A6229|||||4.91|10/1/24||||
A6231|||||6.4|10/1/24||||
A6232|||||9.37|10/1/24||||
A6233|||||26.16|10/1/24||||
A6234|||||8.94|10/1/24||||
A6235|||||22.95|10/1/24||||
A6236|||||37.18|10/1/24||||
A6237|||||10.79|10/1/24||||
A6238|||||31.11|10/1/24||||
A6240|||||16.71|10/1/24||||
A6241|||||3.51|10/1/24||||
A6242|||||8.26|10/1/24||||
A6243|||||16.82|10/1/24||||
A6244|||||53.6|10/1/24||||
A6245|||||9.92|10/1/24||||
A6246|||||13.55|10/1/24||||
A6247|||||32.45|10/1/24||||
A6248|||||22.17|10/1/24||||
A6251|||||2.71|10/1/24||||
A6252|||||4.44|10/1/24||||
A6253|||||8.64|10/1/24||||
A6254|||||1.63|10/1/24||||
A6255|||||4.15|10/1/24||||
A6257|||||2.09|10/1/24||||
A6258|||||5.88|10/1/24||||
A6259|||||14.92|10/1/24||||
A6266|||||2.61|10/1/24||||
