SVC_CD|MODIFIER_1|MODIFIER_2|MODIFIER_3|MODIFIER_4|FEE|AS_OF_DATE|AGE_UNIT|FROM_AGE|THROUGH_AGE|PLACE_OF_SERVICE_CODE
A4624|NU||||3.69|1/1/25||||
A4625|||||8.55|1/1/25||||
A4626|||||3.78|1/1/25||||
A4628|NU||||5.1|1/1/25||||
A4629|||||6.46|1/1/25||||
A4630|NU||||7.4|1/1/25||||
A4633|NU||||57.34|1/1/25||||
A4635|NU||||7.14|1/1/25||||
A4635|RR||||0.97|1/1/25||||
A4635|UE||||4.76|1/1/25||||
A4636|NU||||3.86|1/1/25||||
A4636|NU|KE|||0.0|1/1/25||||
A4636|RR||||0.39|1/1/25||||
A4636|RR|KE|||0.0|1/1/25||||
A4636|UE||||2.9|1/1/25||||
A4636|UE|KE|||0.0|1/1/25||||
A4637|NU||||2.14|1/1/25||||
A4637|NU|KE|||0.0|1/1/25||||
A4637|RR||||0.22|1/1/25||||
A4637|RR|KE|||0.0|1/1/25||||
A4637|UE||||1.61|1/1/25||||
A4637|UE|KE|||0.0|1/1/25||||
A4638|NU||||0.0|1/1/25||||
A4638|RR||||0.0|1/1/25||||
A4638|UE||||0.0|1/1/25||||
A4639|RR||||40.14|1/1/25||||
A4640|NU||||56.58|1/1/25||||
A4640|RR||||5.66|1/1/25||||
A4640|UE||||42.44|1/1/25||||
A5051|||||2.88|1/1/25||||
A5052|||||2.08|1/1/25||||
A5053|||||2.41|1/1/25||||
A5054|||||2.51|1/1/25||||
A5055|||||1.86|1/1/25||||
A5056|||||6.53|1/1/25||||
A5057|||||13.41|1/1/25||||
A5061|||||4.94|1/1/25||||
A5062|||||2.9|1/1/25||||
A5063|||||3.78|1/1/25||||
A5071|||||8.4|1/1/25||||
A5072|||||4.94|1/1/25||||
A5073|||||4.44|1/1/25||||
A5081|||||4.63|1/1/25||||
A5082|||||14.14|1/1/25||||
A5083|||||0.9|1/1/25||||
A5093|||||2.73|1/1/25||||
A5102|||||31.29|1/1/25||||
A5105|||||56.97|1/1/25||||
A5112|||||48.38|1/1/25||||
A5113|||||5.59|1/1/25||||
A5114|||||12.5|1/1/25||||
A5120|AU||||0.34|1/1/25||||
A5120|AV||||0.32|1/1/25||||
A5121|||||10.41|1/1/25||||
A5122|||||17.94|1/1/25||||
A5126|||||1.56|1/1/25||||
A5131|||||22.15|1/1/25||||
A5200|||||15.78|1/1/25||||
A5500|||||88.85|1/1/25||||
A5501|||||266.47|1/1/25||||
A5503|||||45.26|1/1/25||||
A5504|||||45.26|1/1/25||||
A5505|||||45.26|1/1/25||||
A5506|||||45.26|1/1/25||||
A5507|||||45.26|1/1/25||||
A5512|||||36.24|1/1/25||||
A5513|||||54.08|1/1/25||||
A5514|||||54.08|1/1/25||||
A6010|||||43.27|1/1/25||||
A6011|||||3.19|1/1/25||||
A6021|||||29.38|1/1/25||||
A6022|||||29.38|1/1/25||||
A6023|||||265.9|1/1/25||||
A6024|||||8.64|1/1/25||||
A6154|||||20.07|1/1/25||||
A6196|||||10.28|1/1/25||||
A6197|||||22.98|1/1/25||||
A6199|||||7.37|1/1/25||||
A6203|||||4.71|1/1/25||||
A6204|||||8.69|1/1/25||||
A6207|||||10.26|1/1/25||||
A6209|||||10.44|1/1/25||||
A6210|||||27.84|1/1/25||||
A6211|||||41.04|1/1/25||||
A6212|||||13.57|1/1/25||||
A6214|||||14.39|1/1/25||||
A6216|||||0.05|1/1/25||||
A6217|||||0.0|1/1/25||||
A6219|||||1.33|1/1/25||||
A6220|||||3.62|1/1/25||||
A6222|||||2.98|1/1/25||||
A6223|||||3.39|1/1/25||||
A6224|||||5.03|1/1/25||||
A6229|||||5.03|1/1/25||||
A6231|||||6.55|1/1/25||||
A6232|||||9.59|1/1/25||||
A6233|||||26.79|1/1/25||||
A6234|||||9.15|1/1/25||||
A6235|||||23.5|1/1/25||||
A6236|||||38.07|1/1/25||||
A6237|||||11.05|1/1/25||||
A6238|||||31.86|1/1/25||||
A6240|||||17.11|1/1/25||||
A6241|||||3.59|1/1/25||||
A6242|||||8.46|1/1/25||||
A6243|||||17.22|1/1/25||||
A6244|||||54.89|1/1/25||||
A6245|||||10.16|1/1/25||||
A6246|||||13.88|1/1/25||||
A6247|||||33.23|1/1/25||||
A6248|||||22.7|1/1/25||||
A6251|||||2.78|1/1/25||||
A6252|||||4.55|1/1/25||||
A6253|||||8.85|1/1/25||||
A6254|||||1.67|1/1/25||||
A6255|||||4.25|1/1/25||||
A6257|||||2.14|1/1/25||||
A6258|||||6.02|1/1/25||||
A6259|||||15.28|1/1/25||||
A6266|||||2.67|1/1/25||||
A6402|||||0.15|1/1/25||||
A6403|||||0.57|1/1/25||||
A6407|||||2.61|1/1/25||||
A6410|||||0.52|1/1/25||||
A6411|||||0.0|1/1/25||||
A6441|||||0.95|1/1/25||||
A6442|||||0.23|1/1/25||||
A6443|||||0.39|1/1/25||||
A6444|||||0.78|1/1/25||||
A6445|||||0.44|1/1/25||||
A6446|||||0.54|1/1/25||||
A6447|||||0.95|1/1/25||||
A6448|||||1.61|1/1/25||||
A6449|||||2.45|1/1/25||||
A6450|||||2.45|1/1/25||||
A6451|||||2.45|1/1/25||||
A6452|||||8.24|1/1/25||||
A6453|||||0.88|1/1/25||||
A6454|||||1.1|1/1/25||||
A6455|||||1.95|1/1/25||||
A6456|||||1.75|1/1/25||||
A6457|||||1.59|1/1/25||||
A6501|||||0.0|1/1/25||||
A6502|||||0.0|1/1/25||||
A6503|||||0.0|1/1/25||||
A6504|||||0.0|1/1/25||||
A6505|||||0.0|1/1/25||||
A6506|||||0.0|1/1/25||||
A6507|||||0.0|1/1/25||||
A6508|||||0.0|1/1/25||||
A6509|||||0.0|1/1/25||||
A6510|||||0.0|1/1/25||||
A6511|||||0.0|1/1/25||||
A6513|||||0.0|1/1/25||||
A6520|||||123.13|1/1/25||||
A6521|||||488.56|1/1/25||||
A6522|||||299.18|1/1/25||||
A6523|||||709.85|1/1/25||||
A6524|||||373.26|1/1/25||||
A6525|||||753.55|1/1/25||||
A6526|||||674.84|1/1/25||||
A6527|||||1240.94|1/1/25||||
A6528|||||648.9|1/1/25||||
A6529|||||1025.37|1/1/25||||
A6530|||||38.04|1/1/25||||
A6531|AW||||60.45|1/1/25||||
A6532|AW||||85.18|1/1/25||||
A6533|||||53.42|1/1/25||||
A6534|||||61.0|1/1/25||||
A6535|||||70.23|1/1/25||||
A6536|||||72.01|1/1/25||||
A6537|||||85.37|1/1/25||||
A6538|||||99.95|1/1/25||||
A6539|||||95.29|1/1/25||||
A6540|||||113.61|1/1/25||||
A6541|||||134.58|1/1/25||||
A6545|AW||||119.03|1/1/25||||
A6550|||||30.49|1/1/25||||
A6552|||||56.45|1/1/25||||
A6553|||||220.43|1/1/25||||
A6554|||||77.62|1/1/25||||
A6555|||||220.43|1/1/25||||
A6556|||||302.09|1/1/25||||
A6557|||||302.09|1/1/25||||
A6558|||||311.75|1/1/25||||
A6562|||||988.68|1/1/25||||
A6563|||||988.68|1/1/25||||
A6564|||||1065.02|1/1/25||||
A6565|||||170.84|1/1/25||||
A6566|||||248.05|1/1/25||||
A6567|||||779.38|1/1/25||||
A6568|||||161.89|1/1/25||||
A6569|||||921.85|1/1/25||||
A6570|||||110.3|1/1/25||||
A6571|||||662.94|1/1/25||||
A6572|||||102.35|1/1/25||||
A6573|||||242.87|1/1/25||||
A6574|||||309.63|1/1/25||||
A6575|||||100.34|1/1/25||||
A6576|||||190.03|1/1/25||||
A6577|||||157.28|1/1/25||||
A6578|||||77.46|1/1/25||||
A6579|||||305.02|1/1/25||||
A6580|||||302.78|1/1/25||||
A6581|||||71.07|1/1/25||||
A6582|||||47.4|1/1/25||||
A6583|||||155.92|1/1/25||||
A6585|||||184.62|1/1/25||||
A6586|||||543.9|1/1/25||||
A6587|||||71.25|1/1/25||||
A6588|||||237.46|1/1/25||||
A6589|||||93.74|1/1/25||||
A6590|||||437.4|1/1/25||||
A6591|||||88.86|1/1/25||||
A6594|||||34.13|1/1/25||||
A6595|||||33.57|1/1/25||||
A6596|||||0.18|1/1/25||||
A6597|||||1.51|1/1/25||||
A6598|||||0.73|1/1/25||||
A6599|||||1.66|1/1/25||||
A6600|||||2.99|1/1/25||||
A6601|||||3.36|1/1/25||||
A6602|||||4.9|1/1/25||||
A6603|||||2.3|1/1/25||||
A6604|||||1.34|1/1/25||||
A6605|||||1.53|1/1/25||||
A6606|||||4.55|1/1/25||||
A6607|||||1.22|1/1/25||||
A6608|||||5.07|1/1/25||||
A6610|||||220.43|1/1/25||||
A7000|NU||||10.1|1/1/25||||
A7000|NU|KE|||0.0|1/1/25||||
A7001|NU||||46.21|1/1/25||||
A7002|NU||||5.36|1/1/25||||
A7003|NU||||1.86|1/1/25||||
A7004|NU||||1.54|1/1/25||||
A7005|NU||||11.46|1/1/25||||
A7006|NU||||7.98|1/1/25||||
A7007|NU||||3.38|1/1/25||||
A7008|NU||||15.36|1/1/25||||
A7009|NU||||58.76|1/1/25||||
A7010|NU||||18.12|1/1/25||||
A7012|NU||||3.37|1/1/25||||
A7013|NU||||0.66|1/1/25||||
A7014|NU||||3.79|1/1/25||||
A7015|NU||||1.42|1/1/25||||
A7016|NU||||10.14|1/1/25||||
A7017|NU||||138.32|1/1/25||||
A7017|RR||||13.83|1/1/25||||
A7017|UE||||103.74|1/1/25||||
A7018|||||0.38|1/1/25||||
A7020|NU||||20.22|1/1/25||||
A7021|NU||||132.71|1/1/25||||
A7025|RR||||60.77|1/1/25||||
A7026|NU||||40.16|1/1/25||||
A7027|NU||||147.78|1/1/25||||
A7028|NU||||40.63|1/1/25||||
A7029|NU||||18.85|1/1/25||||
A7030|NU||||106.64|1/1/25||||
A7031|NU||||41.05|1/1/25||||
A7032|NU||||23.15|1/1/25||||
A7033|NU||||18.97|1/1/25||||
A7034|NU||||67.12|1/1/25||||
A7035|NU||||22.51|1/1/25||||
A7036|NU||||13.34|1/1/25||||
A7037|NU||||15.23|1/1/25||||
A7038|NU||||2.52|1/1/25||||
A7039|NU||||7.44|1/1/25||||
A7040|||||55.14|1/1/25||||
A7041|||||103.66|1/1/25||||
A7044|NU||||108.96|1/1/25||||
A7045|NU||||15.26|1/1/25||||
A7045|RR||||1.53|1/1/25||||
A7045|UE||||11.44|1/1/25||||
A7046|NU||||16.29|1/1/25||||
A7047|NU||||168.93|1/1/25||||
A7048|||||57.71|1/1/25||||
A7501|||||146.73|1/1/25||||
A7502|||||69.75|1/1/25||||
A7503|||||15.85|1/1/25||||
A7504|||||0.95|1/1/25||||
A7505|||||6.55|1/1/25||||
A7506|||||0.45|1/1/25||||
A7507|||||3.49|1/1/25||||
A7508|||||4.01|1/1/25||||
A7509|||||1.97|1/1/25||||
A7520|||||66.33|1/1/25||||
A7521|||||65.73|1/1/25||||
A7522|||||63.1|1/1/25||||
A7524|||||108.17|1/1/25||||
A7525|||||2.88|1/1/25||||
A7526|||||4.74|1/1/25||||
A7527|||||5.0|1/1/25||||
A8000|NU||||214.28|1/1/25||||
A8000|RR||||21.43|1/1/25||||
A8000|UE||||160.75|1/1/25||||
A8001|NU||||214.28|1/1/25||||
A8001|RR||||21.43|1/1/25||||
A8001|UE||||160.75|1/1/25||||
A8002|NU||||0.0|1/1/25||||
A8002|RR||||0.0|1/1/25||||
A8002|UE||||0.0|1/1/25||||
A8003|NU||||0.0|1/1/25||||
A8003|RR||||0.0|1/1/25||||
A8003|UE||||0.0|1/1/25||||
A8004|NU||||0.0|1/1/25||||
A8004|RR||||0.0|1/1/25||||
A8004|UE||||0.0|1/1/25||||
E0100|NU||||27.93|1/1/25||||
E0100|RR||||8.27|1/1/25||||
E0100|UE||||19.95|1/1/25||||
E0105|NU||||65.47|1/1/25||||
E0105|RR||||12.39|1/1/25||||
E0105|UE||||44.96|1/1/25||||
E0110|NU||||108.41|1/1/25||||
E0110|RR||||22.33|1/1/25||||
E0110|UE||||76.14|1/1/25||||
E0111|NU||||73.06|1/1/25||||
E0111|RR||||11.78|1/1/25||||
E0111|UE||||54.81|1/1/25||||
E0112|NU||||51.71|1/1/25||||
E0112|RR||||13.89|1/1/25||||
E0112|UE||||39.44|1/1/25||||
E0113|NU||||29.54|1/1/25||||
E0113|RR||||7.18|1/1/25||||
E0113|UE||||22.15|1/1/25||||
E0114|NU||||65.94|1/1/25||||
E0114|RR||||11.97|1/1/25||||
E0114|UE||||49.44|1/1/25||||
E0116|NU||||32.96|1/1/25||||
E0116|RR||||6.77|1/1/25||||
E0116|UE||||24.8|1/1/25||||
E0117|RR||||26.91|1/1/25||||
E0130|NU||||55.59|1/1/25||||
E0130|RR||||5.56|1/1/25||||
E0130|UE||||41.69|1/1/25||||
E0135|NU||||55.74|1/1/25||||
E0135|RR||||5.57|1/1/25||||
E0135|UE||||41.81|1/1/25||||
E0140|RR||||32.82|1/1/25||||
E0141|NU||||57.62|1/1/25||||
E0141|RR||||5.76|1/1/25||||
E0141|UE||||43.22|1/1/25||||
E0143|NU||||57.62|1/1/25||||
E0143|RR||||5.76|1/1/25||||
E0143|UE||||43.22|1/1/25||||
E0144|RR||||33.46|1/1/25||||
E0147|NU||||473.02|1/1/25||||
E0147|RR||||47.3|1/1/25||||
E0147|UE||||354.77|1/1/25||||
E0148|NU||||98.81|1/1/25||||
E0148|RR||||9.88|1/1/25||||
E0148|UE||||74.11|1/1/25||||
E0149|RR||||14.85|1/1/25||||
E0153|NU||||96.96|1/1/25||||
E0153|RR||||10.97|1/1/25||||
E0153|UE||||72.7|1/1/25||||
E0154|NU||||57.25|1/1/25||||
E0154|RR||||5.73|1/1/25||||
E0154|UE||||42.94|1/1/25||||
E0155|NU||||24.96|1/1/25||||
E0155|RR||||2.5|1/1/25||||
E0155|UE||||18.72|1/1/25||||
E0156|NU||||19.56|1/1/25||||
E0156|RR||||1.96|1/1/25||||
E0156|UE||||14.67|1/1/25||||
E0157|NU||||63.23|1/1/25||||
E0157|RR||||6.32|1/1/25||||
E0157|UE||||47.42|1/1/25||||
E0158|NU||||25.43|1/1/25||||
E0158|RR||||2.54|1/1/25||||
E0158|UE||||19.07|1/1/25||||
E0159|NU||||16.28|1/1/25||||
E0159|RR||||1.63|1/1/25||||
E0159|UE||||12.21|1/1/25||||
E0160|NU||||34.47|1/1/25||||
E0160|RR||||3.45|1/1/25||||
E0160|UE||||25.85|1/1/25||||
E0161|NU||||27.41|1/1/25||||
E0161|RR||||2.74|1/1/25||||
E0161|UE||||20.56|1/1/25||||
E0162|NU||||173.04|1/1/25||||
E0162|RR||||18.16|1/1/25||||
E0162|UE||||134.18|1/1/25||||
E0163|NU||||61.52|1/1/25||||
E0163|RR||||6.15|1/1/25||||
E0163|UE||||46.15|1/1/25||||
E0165|RR||||14.38|1/1/25||||
E0167|NU||||12.71|1/1/25||||
E0167|RR||||1.27|1/1/25||||
E0167|UE||||9.54|1/1/25||||
E0168|NU||||136.21|1/1/25||||
E0168|RR||||13.62|1/1/25||||
E0168|UE||||102.16|1/1/25||||
E0170|RR||||190.83|1/1/25||||
E0171|RR||||35.38|1/1/25||||
E0175|NU||||78.66|1/1/25||||
E0175|RR||||7.86|1/1/25||||
E0175|UE||||57.9|1/1/25||||
E0181|RR||||18.86|1/1/25||||
E0182|RR||||25.2|1/1/25||||
E0183|RR||||18.86|1/1/25||||
E0184|NU||||191.08|1/1/25||||
E0184|RR||||19.11|1/1/25||||
E0184|UE||||143.32|1/1/25||||
E0185|NU||||196.46|1/1/25||||
E0185|RR||||19.65|1/1/25||||
E0185|UE||||147.34|1/1/25||||
E0186|RR||||23.27|1/1/25||||
E0187|RR||||26.68|1/1/25||||
E0188|NU||||30.62|1/1/25||||
E0188|RR||||3.06|1/1/25||||
E0188|UE||||22.97|1/1/25||||
E0189|NU||||58.87|1/1/25||||
E0189|RR||||5.88|1/1/25||||
E0189|UE||||44.16|1/1/25||||
E0191|NU||||12.09|1/1/25||||
E0191|RR||||1.22|1/1/25||||
E0191|UE||||9.11|1/1/25||||
E0193|RR||||832.47|1/1/25||||
E0194|RR||||4433.86|1/1/25||||
E0196|RR||||37.72|1/1/25||||
E0197|RR||||21.04|1/1/25||||
E0198|RR||||30.97|1/1/25||||
E0199|NU||||36.88|1/1/25||||
E0199|RR||||3.69|1/1/25||||
E0199|UE||||27.67|1/1/25||||
E0200|NU||||110.77|1/1/25||||
E0200|RR||||15.04|1/1/25||||
E0200|UE||||83.13|1/1/25||||
E0202|RR||||74.38|1/1/25||||
E0205|NU||||230.47|1/1/25||||
E0205|RR||||29.83|1/1/25||||
E0205|UE||||172.86|1/1/25||||
E0210|NU||||45.63|1/1/25||||
E0210|RR||||4.3|1/1/25||||
E0210|UE||||34.19|1/1/25||||
E0215|NU||||98.98|1/1/25||||
E0215|RR||||10.36|1/1/25||||
E0215|UE||||74.25|1/1/25||||
E0217|NU||||693.66|1/1/25||||
E0217|RR||||77.22|1/1/25||||
E0217|UE||||520.21|1/1/25||||
E0225|NU||||513.13|1/1/25||||
E0225|RR||||51.32|1/1/25||||
E0225|UE||||384.83|1/1/25||||
E0235|RR||||24.1|1/1/25||||
E0236|RR||||61.82|1/1/25||||
E0239|NU||||628.5|1/1/25||||
E0239|RR||||62.86|1/1/25||||
E0239|UE||||471.39|1/1/25||||
E0249|NU||||139.16|1/1/25||||
E0249|RR||||15.29|1/1/25||||
E0249|UE||||104.36|1/1/25||||
E0250|RR||||72.33|1/1/25||||
E0251|RR||||67.27|1/1/25||||
E0255|RR||||72.69|1/1/25||||
E0256|RR||||69.47|1/1/25||||
E0260|RR||||72.69|1/1/25||||
E0261|RR||||72.69|1/1/25||||
E0265|RR||||179.17|1/1/25||||
