SVC_CD|Modifier_1|FEE|ASOFDATE
G9984||87.35|01-01-2024
G9985||124.33|01-01-2024
G9986||170.79|01-01-2024
G9987||54.52|01-01-2024
P3001||26.69|01-01-2024
Q0035||19.55|01-01-2024
Q0035|TC|11.17|01-01-2024
Q0035|26|8.37|01-01-2024
Q0091||49.83|01-01-2024
Q0092||30.33|01-01-2024
0446T||3626.02|01-01-2024
0447T||108.91|01-01-2024
0448T||3605.5|01-01-2024
0509T||86.82|01-01-2024
0509T|TC|64.74|01-01-2024
0509T|26|22.08|01-01-2024
10004||55.25|01-01-2024
10005||147.65|01-01-2024
10006||63.75|01-01-2024
10007||343.53|01-01-2024
10008||157.03|01-01-2024
10009||485.17|01-01-2024
10010||263.95|01-01-2024
10021||111.42|01-01-2024
10030||723.64|01-01-2024
10035||411.76|01-01-2024
10036||340.12|01-01-2024
10040||130.66|01-01-2024
10060||141.52|01-01-2024
10061||235.48|01-01-2024
10080||285.42|01-01-2024
10081||384.45|01-01-2024
10120||170.91|01-01-2024
10121||291.36|01-01-2024
10140||188.84|01-01-2024
10160||144.01|01-01-2024
10180||289.78|01-01-2024
11000||65.78|01-01-2024
11001||30.07|01-01-2024
11004||570.31|01-01-2024
11005||769.95|01-01-2024
11006||699.91|01-01-2024
11008||270.72|01-01-2024
11010||492.39|01-01-2024
11011||546.24|01-01-2024
11012||707.64|01-01-2024
11042||145.3|01-01-2024
11043||253.25|01-01-2024
11044||334.25|01-01-2024
11045||43.11|01-01-2024
11046||77.36|01-01-2024
11047||126.79|01-01-2024
11055||81.43|01-01-2024
11056||93.81|01-01-2024
11057||101.89|01-01-2024
11102||113.63|01-01-2024
11103||56.48|01-01-2024
11104||141.22|01-01-2024
11105||66.75|01-01-2024
11106||175.41|01-01-2024
11107||79.82|01-01-2024
11200||103.51|01-01-2024
11201||19.56|01-01-2024
11300||113.93|01-01-2024
11301||136.57|01-01-2024
11302||154.04|01-01-2024
11303||169.75|01-01-2024
11305||118.41|01-01-2024
11306||137.61|01-01-2024
11307||154.69|01-01-2024
11308||161.83|01-01-2024
11310||130.59|01-01-2024
11311||153.23|01-01-2024
11312||173.8|01-01-2024
11313||201.19|01-01-2024
11400||144.84|01-01-2024
11401||175.13|01-01-2024
11402||192.56|01-01-2024
11403||220.18|01-01-2024
11404||248.41|01-01-2024
11406||348.09|01-01-2024
11420||142.57|01-01-2024
11421||178.32|01-01-2024
11422||199.69|01-01-2024
11423||227.69|01-01-2024
11424||262.26|01-01-2024
11426||355.91|01-01-2024
11440||162.25|01-01-2024
11441||194.73|01-01-2024
11442||215.55|01-01-2024
11443||252.06|01-01-2024
11444||310.75|01-01-2024
11446||417.24|01-01-2024
11450||479.23|01-01-2024
11451||580.39|01-01-2024
11462||467.25|01-01-2024
11463||588.87|01-01-2024
11470||504.92|01-01-2024
11471||603.78|01-01-2024
11600||220.88|01-01-2024
11601||254.95|01-01-2024
11602||272.72|01-01-2024
11603||308.37|01-01-2024
11604||342.84|01-01-2024
11606||488.07|01-01-2024
11620||221.84|01-01-2024
11621||255.51|01-01-2024
11622||281.53|01-01-2024
11623||326.27|01-01-2024
11624||370.23|01-01-2024
11626||441.72|01-01-2024
11640||227.88|01-01-2024
11641||263.89|01-01-2024
11642||297.25|01-01-2024
11643||346.02|01-01-2024
11644||425.6|01-01-2024
11646||545.6|01-01-2024
11719||15.8|01-01-2024
11720||36.62|01-01-2024
11721||49.04|01-01-2024
11730||128.56|01-01-2024
11732||36.32|01-01-2024
11740||65.69|01-01-2024
11750||179.22|01-01-2024
11755||135.61|01-01-2024
11760||206.13|01-01-2024
11762||318.5|01-01-2024
11765||187.76|01-01-2024
11770||394.02|01-01-2024
11771||689.42|01-01-2024
11772||845.8|01-01-2024
11900||64.06|01-01-2024
11901||77.19|01-01-2024
11920||223.18|01-01-2024
11921||245.39|01-01-2024
11922||68.01|01-01-2024
11950||89.36|01-01-2024
11951||118.29|01-01-2024
11952||157.32|01-01-2024
11954||173.24|01-01-2024
11960||1105.44|01-01-2024
11970||602.47|01-01-2024
11971||596.52|01-01-2024
11976||157.04|01-01-2024
11980||102.69|01-01-2024
11981||109.32|01-01-2024
11982||119.95|01-01-2024
11983||151.83|01-01-2024
12001||104.21|01-01-2024
12002||125.19|01-01-2024
12004||144.82|01-01-2024
12005||192.37|01-01-2024
12006||221.18|01-01-2024
12007||249.28|01-01-2024
12011||123.36|01-01-2024
12013||127.59|01-01-2024
12014||155.02|01-01-2024
12015||186.46|01-01-2024
12016||235.01|01-01-2024
12017||152.63|01-01-2024
12018||171.85|01-01-2024
12020||332.82|01-01-2024
12021||194.64|01-01-2024
12031||295.17|01-01-2024
12032||340.01|01-01-2024
12034||372.32|01-01-2024
12035||430.0|01-01-2024
12036||474.63|01-01-2024
12037||530.78|01-01-2024
12041||295.29|01-01-2024
12042||345.44|01-01-2024
12044||427.09|01-01-2024
12045||456.31|01-01-2024
12046||549.3|01-01-2024
12047||599.5|01-01-2024
12051||316.78|01-01-2024
12052||350.97|01-01-2024
12053||404.95|01-01-2024
12054||424.0|01-01-2024
12055||555.77|01-01-2024
12056||638.51|01-01-2024
12057||664.38|01-01-2024
13100||378.76|01-01-2024
13101||441.29|01-01-2024
13102||126.97|01-01-2024
13120||394.09|01-01-2024
13121||471.21|01-01-2024
13122||137.77|01-01-2024
13131||429.32|01-01-2024
13132||519.18|01-01-2024
13133||181.36|01-01-2024
13151||465.62|01-01-2024
13152||545.07|01-01-2024
13153||198.64|01-01-2024
13160||839.93|01-01-2024
14000||701.31|01-01-2024
14001||886.15|01-01-2024
14020||777.15|01-01-2024
14021||951.55|01-01-2024
14040||834.81|01-01-2024
14041||1011.65|01-01-2024
14060||840.72|01-01-2024
14061||1093.17|01-01-2024
14301||1177.37|01-01-2024
14302||220.43|01-01-2024
14350||719.46|01-01-2024
15002||373.64|01-01-2024
15003||74.37|01-01-2024
15004||426.75|01-01-2024
15005||122.65|01-01-2024
15040||290.13|01-01-2024
15050||646.45|01-01-2024
15100||940.47|01-01-2024
15101||202.55|01-01-2024
15110||890.9|01-01-2024
15111||116.4|01-01-2024
15115||865.97|01-01-2024
15116||157.93|01-01-2024
15120||917.32|01-01-2024
15121||225.84|01-01-2024
15130||786.41|01-01-2024
15131||101.85|01-01-2024
15135||944.3|01-01-2024
15136||100.29|01-01-2024
15150||743.51|01-01-2024
15151||120.03|01-01-2024
15152||151.39|01-01-2024
15155||852.07|01-01-2024
15156||161.09|01-01-2024
15157||179.57|01-01-2024
15200||917.15|01-01-2024
15201||153.12|01-01-2024
15220||847.53|01-01-2024
15221||141.92|01-01-2024
15240||1019.52|01-01-2024
15241||190.1|01-01-2024
15260||1096.32|01-01-2024
15261||223.51|01-01-2024
15271||169.92|01-01-2024
15272||26.46|01-01-2024
15273||334.05|01-01-2024
15274||88.22|01-01-2024
15275||174.25|01-01-2024
15276||34.28|01-01-2024
15277||367.78|01-01-2024
15278||102.76|01-01-2024
15570||982.9|01-01-2024
15572||958.89|01-01-2024
15574||961.89|01-01-2024
15576||852.76|01-01-2024
15600||383.46|01-01-2024
15610||414.79|01-01-2024
15620||499.79|01-01-2024
15630||516.63|01-01-2024
15650||601.19|01-01-2024
15730||1575.31|01-01-2024
15731||1212.74|01-01-2024
15733||1085.84|01-01-2024
15734||1563.08|01-01-2024
15736||1289.83|01-01-2024
15738||1329.78|01-01-2024
15740||1105.24|01-01-2024
15750||991.7|01-01-2024
15756||2382.64|01-01-2024
15757||2367.64|01-01-2024
15758||2359.09|01-01-2024
15760||924.5|01-01-2024
15769||512.08|01-01-2024
15770||725.53|01-01-2024
15771||666.43|01-01-2024
15772||204.77|01-01-2024
15773||649.65|01-01-2024
15774||199.29|01-01-2024
15775||410.08|01-01-2024
15776||552.71|01-01-2024
15777||219.16|01-01-2024
15778||387.4|01-01-2024
15780||938.33|01-01-2024
15781||592.94|01-01-2024
15782||542.68|01-01-2024
15783||501.56|01-01-2024
15786||255.62|01-01-2024
15787||33.21|01-01-2024
15788||444.24|01-01-2024
15789||594.05|01-01-2024
15792||382.05|01-01-2024
15793||532.13|01-01-2024
15819||855.76|01-01-2024
15820||642.55|01-01-2024
15821||685.33|01-01-2024
15822||512.26|01-01-2024
15823||687.47|01-01-2024
15830||1234.87|01-01-2024
15832||979.92|01-01-2024
15833||936.22|01-01-2024
15834||952.6|01-01-2024
15835||990.22|01-01-2024
15836||853.16|01-01-2024
15837||945.57|01-01-2024
15838||699.37|01-01-2024
15839||967.98|01-01-2024
15840||1074.86|01-01-2024
15841||1874.89|01-01-2024
15842||2821.87|01-01-2024
15845||1133.74|01-01-2024
15851||59.01|01-01-2024
15852||45.41|01-01-2024
15853||13.52|01-01-2024
15854||18.44|01-01-2024
15860||107.73|01-01-2024
15920||672.34|01-01-2024
15922||855.92|01-01-2024
15931||741.41|01-01-2024
15933||926.65|01-01-2024
15934||1048.2|01-01-2024
15935||1231.43|01-01-2024
15936||943.3|01-01-2024
15937||1091.84|01-01-2024
15940||748.48|01-01-2024
15941||990.82|01-01-2024
15944||999.69|01-01-2024
15945||1089.91|01-01-2024
15946||1690.34|01-01-2024
15950||686.49|01-01-2024
15951||965.39|01-01-2024
15952||979.55|01-01-2024
15953||1078.57|01-01-2024
15956||1251.88|01-01-2024
15958||1242.28|01-01-2024
16000||87.09|01-01-2024
16020||95.75|01-01-2024
16025||171.87|01-01-2024
16030||214.95|01-01-2024
16035||199.42|01-01-2024
16036||82.87|01-01-2024
17000||75.73|01-01-2024
17003||7.62|01-01-2024
17004||187.75|01-01-2024
17106||381.14|01-01-2024
17107||494.83|01-01-2024
17108||695.2|01-01-2024
17110||129.46|01-01-2024
17111||150.3|01-01-2024
17250||98.62|01-01-2024
17260||111.25|01-01-2024
17261||166.94|01-01-2024
17262||199.42|01-01-2024
17263||215.25|01-01-2024
17264||230.59|01-01-2024
17266||261.17|01-01-2024
17270||167.42|01-01-2024
17271||185.96|01-01-2024
17272||210.27|01-01-2024
17273||232.62|01-01-2024
17274||270.55|01-01-2024
17276||312.32|01-01-2024
17280||157.94|01-01-2024
17281||200.35|01-01-2024
17282||228.37|01-01-2024
17283||268.4|01-01-2024
17284||303.75|01-01-2024
17286||387.11|01-01-2024
17311||758.1|01-01-2024
17312||462.99|01-01-2024
17313||714.19|01-01-2024
17314||444.35|01-01-2024
17315||88.02|01-01-2024
17340||56.45|01-01-2024
17360||135.14|01-01-2024
19000||111.68|01-01-2024
19001||27.97|01-01-2024
19020||519.98|01-01-2024
19030||181.87|01-01-2024
19081||558.76|01-01-2024
19082||435.07|01-01-2024
19083||557.75|01-01-2024
19084||428.7|01-01-2024
19085||862.76|01-01-2024
19086||673.66|01-01-2024
19100||163.72|01-01-2024
19101||357.16|01-01-2024
19105||2624.91|01-01-2024
19110||534.2|01-01-2024
19112||509.48|01-01-2024
19120||561.27|01-01-2024
19125||616.36|01-01-2024
19126||159.7|01-01-2024
19281||268.96|01-01-2024
19282||192.93|01-01-2024
19283||288.8|01-01-2024
19284||214.1|01-01-2024
19285||415.28|01-01-2024
19286||342.63|01-01-2024
19287||719.31|01-01-2024
19288||558.32|01-01-2024
19294||163.87|01-01-2024
19296||4179.74|01-01-2024
19297||93.59|01-01-2024
19298||982.42|01-01-2024
19300||633.78|01-01-2024
19301||686.53|01-01-2024
19302||941.63|01-01-2024
19303||992.24|01-01-2024
19305||1194.4|01-01-2024
19306||1271.61|01-01-2024
19307||1225.26|01-01-2024
19316||841.67|01-01-2024
19318||1154.25|01-01-2024
19325||660.3|01-01-2024
19328||592.84|01-01-2024
19330||687.81|01-01-2024
19340||807.98|01-01-2024
19342||812.14|01-01-2024
19350||905.97|01-01-2024
19355||821.52|01-01-2024
19357||1244.96|01-01-2024
19361||1636.81|01-01-2024
19364||2831.53|01-01-2024
19367||1856.65|01-01-2024
19368||2261.65|01-01-2024
19369||2103.4|01-01-2024
19370||717.85|01-01-2024
19371||757.47|01-01-2024
19380||860.52|01-01-2024
19396||302.02|01-01-2024
20100||615.21|01-01-2024
20101||644.64|01-01-2024
20102||683.56|01-01-2024
20103||619.5|01-01-2024
20150||1060.26|01-01-2024
20200||240.76|01-01-2024
