SVC_CD|MODIFIER_1|FEE
21347||1397.02
21348||668.07
21355||184.78
21356||396.25
21360||423.48
21365||786.09
21366||796.24
21385||725.75
21386||725.75
21387||725.75
21390||846.97
21395||1018.4
21400||291.58
21401||375.43
21406||749.24
21407||747.64
21408||675.01
21421||423.48
21422||700.65
21423||756.72
21431||423.48
21432||725.75
21433||1914.49
21435||1375.88
21436||1541.21
21440||190.65
21445||302.26
21451||543.64
21452||477.43
21453||483.82
21454||530.28
21461||854.44
21462||866.72
21465||725.75
21470||1362.68
21480||101.47
21485||351.38
21490||976.2
21497||382.37
21501||366.35
21502||370.62
21510||626.42
21550||106.81
21555||474.74
21556||572.48
21557||959.64
21600||390.37
21610||640.3
21615||913.73
21616||985.82
21620||803.18
21627||1050.43
21630||1737.72
21632||1598.88
21700||605.06
21705||725.75
21720||483.82
21725||544.17
21740||1546.54
21750||1163.64
21820||166.09
21825||904.1
21920||110.0
21925||386.1
21930||532.42
21935||1198.36
22100||688.9
22101||712.93
22102||548.97
22103||170.35
22110||889.69
22112||896.63
22114||775.41
22116||167.68
22210||1503.28
22212||1483.0
22214||1392.75
22216||440.05
22220||1527.85
22222||1369.78
22224||1453.62
22226||436.83
22310||196.53
22315||570.88
22318||1400.75
22319||1583.92
22325||1040.81
22326||1451.48
22327||1451.48
22328||336.97
22505||149.52
22548||1962.55
22554||1554.01
22556||1842.4
22558||1735.05
22585||405.86
22590||1712.63
22595||1613.83
22600||1371.39
22610||1353.76
22612||1710.49
22614||469.94
22630||1613.3
22632||381.82
22800||1484.06
22802||2423.95
22804||2632.76
22808||1805.01
22810||1959.88
22812||2371.08
22818||2467.21
22819||2766.8
22830||959.11
22840||527.62
22842||587.96
22843||733.75
22844||896.63
22845||513.2
22846||677.68
22847||752.44
22848||490.77
22849||1030.67
22850||761.52
22852||766.33
22855||689.96
22900||579.43
23000||363.13
23020||665.4
23030||402.65
23031||198.66
23035||1093.69
23040||665.4
23044||665.4
23065||120.69
23066||267.54
23075||173.56
23076||701.18
23077||1343.62
23100||640.3
23101||619.47
23105||886.49
23106||886.49
23107||665.4
23120||514.26
23125||887.55
23130||514.26
23140||364.21
23145||544.17
23146||544.17
23150||574.61
23155||756.19
23156||756.19
23170||402.12
23172||383.43
23174||871.0
23180||556.99
23182||592.24
23184||581.55
23190||423.48
23195||919.06
23200||1195.16
23210||1186.61
23220||1360.7
23330||160.21
23350||247.25
23395||1354.83
23397||1374.05
23400||1291.28
23405||459.8
23406||536.7
23410||846.97
23412||846.97
23415||482.76
23420||1088.88
23430||725.75
23440||725.75
23450||1028.01
23455||1149.23
23460||1209.57
23462||1209.57
23465||1028.01
23466||1248.03
23470||1209.57
23473||1945.46
23474||2099.26
23480||605.06
23485||786.09
23490||1111.32
23491||1314.24
23500||133.3
23505||216.81
