SVC_CD|Modifier_1|FEE|ASOFDATE
0448T||3753.47|01-01-2023
0503T||1067.2|01-01-2023
0509T||88.14|01-01-2023
0509T|TC|65.3|01-01-2023
0509T|26|22.84|01-01-2023
10004||55.52|01-01-2023
10005||153.85|01-01-2023
10006||65.57|01-01-2023
10007||345.84|01-01-2023
10008||164.82|01-01-2023
10009||510.68|01-01-2023
10010||276.72|01-01-2023
10021||115.4|01-01-2023
10030||765.47|01-01-2023
10035||436.06|01-01-2023
10036||365.85|01-01-2023
10040||134.27|01-01-2023
10060||143.33|01-01-2023
10061||239.49|01-01-2023
10080||295.63|01-01-2023
10081||396.88|01-01-2023
10120||173.87|01-01-2023
10121||299.5|01-01-2023
10140||192.97|01-01-2023
10160||148.02|01-01-2023
10180||298.76|01-01-2023
11000||66.0|01-01-2023
11001||30.88|01-01-2023
11004||591.52|01-01-2023
11005||799.91|01-01-2023
11006||726.68|01-01-2023
11008||282.0|01-01-2023
11010||514.69|01-01-2023
11011||561.26|01-01-2023
11012||732.0|01-01-2023
11042||148.34|01-01-2023
11043||259.23|01-01-2023
11044||342.24|01-01-2023
11045||44.16|01-01-2023
11046||79.28|01-01-2023
11047||130.56|01-01-2023
11055||84.05|01-01-2023
11056||96.19|01-01-2023
11057||104.31|01-01-2023
11102||118.25|01-01-2023
11103||58.21|01-01-2023
11104||146.29|01-01-2023
11105||68.41|01-01-2023
11106||181.27|01-01-2023
11107||82.68|01-01-2023
11200||104.58|01-01-2023
11201||20.09|01-01-2023
11300||118.54|01-01-2023
11301||141.54|01-01-2023
11302||159.15|01-01-2023
11303||175.8|01-01-2023
11305||122.81|01-01-2023
11306||142.46|01-01-2023
11307||160.69|01-01-2023
11308||168.29|01-01-2023
11310||135.59|01-01-2023
11311||158.35|01-01-2023
11312||180.31|01-01-2023
11313||207.91|01-01-2023
11400||148.46|01-01-2023
11401||179.85|01-01-2023
11402||197.36|01-01-2023
11403||225.58|01-01-2023
11404||255.18|01-01-2023
11406||356.64|01-01-2023
11420||147.19|01-01-2023
11421||183.37|01-01-2023
11422||205.04|01-01-2023
11423||232.57|01-01-2023
11424||266.67|01-01-2023
11426||367.99|01-01-2023
11440||166.37|01-01-2023
11441||199.79|01-01-2023
11442||221.32|01-01-2023
11443||259.13|01-01-2023
11444||318.92|01-01-2023
11446||427.27|01-01-2023
11450||496.0|01-01-2023
11451||602.78|01-01-2023
11462||481.18|01-01-2023
11463||611.93|01-01-2023
11470||524.3|01-01-2023
11471||617.13|01-01-2023
11600||227.36|01-01-2023
11601||261.75|01-01-2023
11602||280.07|01-01-2023
11603||317.26|01-01-2023
11604||352.66|01-01-2023
11606||501.31|01-01-2023
11620||228.52|01-01-2023
11621||263.15|01-01-2023
11622||288.73|01-01-2023
11623||335.58|01-01-2023
11624||380.84|01-01-2023
11626||455.92|01-01-2023
11640||233.91|01-01-2023
11641||271.4|01-01-2023
11642||305.18|01-01-2023
11643||355.98|01-01-2023
11644||437.46|01-01-2023
11646||562.87|01-01-2023
11719||15.9|01-01-2023
11720||37.21|01-01-2023
11721||49.82|01-01-2023
11730||132.0|01-01-2023
11732||37.73|01-01-2023
11740||66.29|01-01-2023
11750||182.18|01-01-2023
11755||139.88|01-01-2023
11760||214.58|01-01-2023
11762||327.36|01-01-2023
11765||191.42|01-01-2023
11770||408.64|01-01-2023
11771||710.11|01-01-2023
11772||874.42|01-01-2023
11900||65.26|01-01-2023
11901||78.88|01-01-2023
11920||220.0|01-01-2023
11921||254.82|01-01-2023
11922||69.6|01-01-2023
11950||91.74|01-01-2023
11951||121.02|01-01-2023
11952||161.17|01-01-2023
11954||177.46|01-01-2023
11960||1134.26|01-01-2023
11970||619.36|01-01-2023
11971||610.8|01-01-2023
11976||161.3|01-01-2023
11980||105.37|01-01-2023
11981||112.34|01-01-2023
11982||125.06|01-01-2023
11983||156.69|01-01-2023
12001||107.0|01-01-2023
12002||128.49|01-01-2023
12004||148.37|01-01-2023
12005||198.1|01-01-2023
12006||229.24|01-01-2023
12007||256.58|01-01-2023
12011||127.53|01-01-2023
12013||132.46|01-01-2023
12014||160.54|01-01-2023
12015||192.68|01-01-2023
12016||244.35|01-01-2023
12017||158.12|01-01-2023
12018||178.36|01-01-2023
12020||343.23|01-01-2023
12021||199.98|01-01-2023
12031||304.64|01-01-2023
12032||350.14|01-01-2023
12034||383.23|01-01-2023
12035||443.63|01-01-2023
12036||488.44|01-01-2023
12037||544.78|01-01-2023
12041||305.22|01-01-2023
12042||355.78|01-01-2023
12044||438.59|01-01-2023
12045||472.89|01-01-2023
12046||566.28|01-01-2023
12047||618.36|01-01-2023
12051||327.19|01-01-2023
12052||362.4|01-01-2023
12053||418.67|01-01-2023
12054||440.37|01-01-2023
12055||579.83|01-01-2023
12056||661.14|01-01-2023
12057||691.53|01-01-2023
13100||391.99|01-01-2023
13101||456.86|01-01-2023
13102||131.7|01-01-2023
13120||408.1|01-01-2023
13121||487.35|01-01-2023
13122||143.13|01-01-2023
13131||444.05|01-01-2023
13132||537.34|01-01-2023
13133||187.38|01-01-2023
13151||482.16|01-01-2023
13152||563.64|01-01-2023
13153||206.35|01-01-2023
13160||864.57|01-01-2023
14000||717.97|01-01-2023
14001||908.75|01-01-2023
14020||795.1|01-01-2023
14021||974.12|01-01-2023
14040||854.37|01-01-2023
14041||1035.27|01-01-2023
14060||861.11|01-01-2023
14061||1117.42|01-01-2023
14301||1212.68|01-01-2023
14302||228.99|01-01-2023
14350||737.38|01-01-2023
15002||388.15|01-01-2023
15003||76.92|01-01-2023
15004||442.12|01-01-2023
15005||126.91|01-01-2023
15040||302.37|01-01-2023
15050||673.85|01-01-2023
15100||970.23|01-01-2023
15101||210.69|01-01-2023
15110||918.7|01-01-2023
15111||119.74|01-01-2023
15115||883.43|01-01-2023
15116||164.67|01-01-2023
15120||943.54|01-01-2023
15121||236.04|01-01-2023
15130||813.53|01-01-2023
15131||105.12|01-01-2023
15135||979.86|01-01-2023
15136||103.51|01-01-2023
15150||769.1|01-01-2023
15151||124.3|01-01-2023
15152||159.67|01-01-2023
15155||881.68|01-01-2023
15156||166.52|01-01-2023
15157||186.08|01-01-2023
15200||940.17|01-01-2023
15201||159.69|01-01-2023
15220||868.77|01-01-2023
15221||147.84|01-01-2023
15240||1044.6|01-01-2023
15241||195.06|01-01-2023
15260||1122.11|01-01-2023
15261||231.94|01-01-2023
15271||174.17|01-01-2023
15272||26.72|01-01-2023
15273||347.5|01-01-2023
15274||92.98|01-01-2023
15275||178.69|01-01-2023
15276||35.49|01-01-2023
15277||384.99|01-01-2023
15278||107.13|01-01-2023
15570||1015.2|01-01-2023
15572||985.34|01-01-2023
15574||979.15|01-01-2023
15576||876.91|01-01-2023
15600||393.63|01-01-2023
15610||426.26|01-01-2023
15620||513.25|01-01-2023
15630||529.02|01-01-2023
15650||617.03|01-01-2023
15730||1629.05|01-01-2023
15731||1249.36|01-01-2023
15733||1121.27|01-01-2023
15734||1613.32|01-01-2023
15736||1326.62|01-01-2023
15738||1374.46|01-01-2023
15740||1131.81|01-01-2023
15750||1010.54|01-01-2023
15756||2469.1|01-01-2023
15757||2454.92|01-01-2023
15758||2447.78|01-01-2023
15760||950.65|01-01-2023
15769||526.47|01-01-2023
15770||743.39|01-01-2023
15771||679.23|01-01-2023
15772||210.56|01-01-2023
15773||667.78|01-01-2023
15774||206.17|01-01-2023
15775||424.58|01-01-2023
15776||572.04|01-01-2023
15777||227.7|01-01-2023
15778||401.57|01-01-2023
15780||961.68|01-01-2023
15781||613.97|01-01-2023
15782||555.53|01-01-2023
15783||512.31|01-01-2023
15786||263.77|01-01-2023
15787||34.26|01-01-2023
15788||456.01|01-01-2023
15789||606.93|01-01-2023
15792||390.51|01-01-2023
15793||542.17|01-01-2023
15819||880.67|01-01-2023
15820||655.21|01-01-2023
15821||699.73|01-01-2023
15822||525.08|01-01-2023
15823||702.33|01-01-2023
15830||1273.79|01-01-2023
15832||1009.55|01-01-2023
15833||964.62|01-01-2023
15834||981.43|01-01-2023
15835||1020.42|01-01-2023
15836||878.2|01-01-2023
15837||973.09|01-01-2023
15838||719.27|01-01-2023
15839||995.18|01-01-2023
15840||1109.04|01-01-2023
15841||1936.85|01-01-2023
15842||2920.17|01-01-2023
15845||1166.63|01-01-2023
15851||60.77|01-01-2023
15852||48.28|01-01-2023
15853||13.5|01-01-2023
15854||18.96|01-01-2023
15860||112.02|01-01-2023
15920||705.0|01-01-2023
15922||881.93|01-01-2023
15931||765.22|01-01-2023
15933||952.52|01-01-2023
15934||1032.13|01-01-2023
15935||1270.58|01-01-2023
15936||979.23|01-01-2023
15937||1137.22|01-01-2023
15940||771.59|01-01-2023
15941||1030.53|01-01-2023
15944||1031.01|01-01-2023
15945||1123.2|01-01-2023
15946||1754.58|01-01-2023
15950||706.64|01-01-2023
15951||995.18|01-01-2023
15952||1009.86|01-01-2023
15953||1112.08|01-01-2023
15956||1268.22|01-01-2023
15958||1289.18|01-01-2023
16000||87.96|01-01-2023
16020||97.56|01-01-2023
16025||175.46|01-01-2023
16030||220.4|01-01-2023
16035||205.12|01-01-2023
16036||86.42|01-01-2023
17000||76.88|01-01-2023
17003||7.84|01-01-2023
17004||194.44|01-01-2023
17106||388.74|01-01-2023
17107||504.12|01-01-2023
17108||708.51|01-01-2023
17110||132.52|01-01-2023
17111||153.66|01-01-2023
17250||101.99|01-01-2023
17260||114.35|01-01-2023
17261||170.63|01-01-2023
17262||204.69|01-01-2023
17263||220.81|01-01-2023
17264||236.4|01-01-2023
17266||268.66|01-01-2023
17270||171.55|01-01-2023
17271||190.82|01-01-2023
17272||215.68|01-01-2023
17273||238.38|01-01-2023
17274||278.0|01-01-2023
17276||321.25|01-01-2023
17280||160.99|01-01-2023
17281||205.48|01-01-2023
17282||234.41|01-01-2023
17283||275.36|01-01-2023
17284||312.0|01-01-2023
17286||396.41|01-01-2023
17311||776.41|01-01-2023
17312||474.41|01-01-2023
17313||730.74|01-01-2023
17314||455.44|01-01-2023
17315||89.08|01-01-2023
17340||57.83|01-01-2023
17360||139.8|01-01-2023
19000||117.17|01-01-2023
19001||28.7|01-01-2023
19020||536.94|01-01-2023
19030||189.26|01-01-2023
19081||588.65|01-01-2023
19082||462.0|01-01-2023
19083||590.02|01-01-2023
19084||455.8|01-01-2023
19085||913.93|01-01-2023
19086||716.74|01-01-2023
19100||171.6|01-01-2023
19101||371.4|01-01-2023
19105||2785.24|01-01-2023
19110||551.25|01-01-2023
19112||524.86|01-01-2023
19120||576.26|01-01-2023
19125||633.02|01-01-2023
19126||165.59|01-01-2023
19281||279.23|01-01-2023
19282||200.9|01-01-2023
19283||302.21|01-01-2023
19284||225.64|01-01-2023
19285||440.08|01-01-2023
19286||364.65|01-01-2023
19287||761.89|01-01-2023
19288||594.15|01-01-2023
19294||169.77|01-01-2023
19296||4476.18|01-01-2023
19297||97.72|01-01-2023
19298||1025.17|01-01-2023
19300||660.58|01-01-2023
19301||707.89|01-01-2023
19302||970.94|01-01-2023
19303||1023.19|01-01-2023
19305||1235.38|01-01-2023
