SVC_CD|Modifier_1|FEE|ASOFDATE
G0076||52.09|01-01-2023
G0077||77.58|01-01-2023
G0078||128.87|01-01-2023
G0079||169.86|01-01-2023
G0080||222.22|01-01-2023
G0081||50.94|01-01-2023
G0082||82.97|01-01-2023
G0083||131.48|01-01-2023
G0084||186.02|01-01-2023
G0085||222.22|01-01-2023
G0086||80.66|01-01-2023
G0087||112.34|01-01-2023
G0101||43.31|01-01-2023
G0102||26.51|01-01-2023
G0104||217.5|01-01-2023
G0105||383.8|01-01-2023
G0105|53|191.7|01-01-2023
G0106||261.26|01-01-2023
G0106|TC|197.77|01-01-2023
G0106|26|63.49|01-01-2023
G0108||59.47|01-01-2023
G0109||16.94|01-01-2023
G0117||72.96|01-01-2023
G0118||48.97|01-01-2023
G0120||261.26|01-01-2023
G0120|TC|197.77|01-01-2023
G0120|26|63.49|01-01-2023
G0121||384.03|01-01-2023
G0121|53|191.93|01-01-2023
G0124||25.69|01-01-2023
G0127||26.96|01-01-2023
G0128||10.64|01-01-2023
G0130||41.34|01-01-2023
G0130|TC|29.85|01-01-2023
G0130|26|11.49|01-01-2023
G0141||25.69|01-01-2023
G0166||124.2|01-01-2023
G0168||146.26|01-01-2023
G0179||46.21|01-01-2023
G0180||57.87|01-01-2023
G0181||112.4|01-01-2023
G0182||113.2|01-01-2023
G0237||12.64|01-01-2023
G0238||12.24|01-01-2023
G0239||15.04|01-01-2023
G0245||70.38|01-01-2023
G0246||42.94|01-01-2023
G0247||97.11|01-01-2023
G0248||115.79|01-01-2023
G0249||80.28|01-01-2023
G0250||9.3|01-01-2023
G0268||58.38|01-01-2023
G0270||35.5|01-01-2023
G0271||18.54|01-01-2023
G0276||388.07|01-01-2023
G0277||202.97|01-01-2023
G0278||13.7|01-01-2023
G0279||59.43|01-01-2023
G0279|TC|28.81|01-01-2023
G0279|26|30.62|01-01-2023
G0281||13.3|01-01-2023
G0283||13.3|01-01-2023
G0288||46.36|01-01-2023
G0289||88.69|01-01-2023
G0296||30.24|01-01-2023
G0316||33.77|01-01-2023
