SVC_CD|Modifier_1|FEE|ASOFDATE
13131||262.95|01-01-2023
13132||328.93|01-01-2023
13133||133.57|01-01-2023
13151||302.26|01-01-2023
13152||363.67|01-01-2023
13153||145.72|01-01-2023
14000||555.74|01-01-2023
14001||715.19|01-01-2023
14020||626.45|01-01-2023
14021||779.36|01-01-2023
14040||686.51|01-01-2023
14041||836.89|01-01-2023
14060||732.61|01-01-2023
14061||899.38|01-01-2023
14301||947.25|01-01-2023
15002||233.55|01-01-2023
15003||47.2|01-01-2023
15004||277.88|01-01-2023
15005||93.98|01-01-2023
15040||132.51|01-01-2023
15050||513.23|01-01-2023
15100||781.89|01-01-2023
15101||118.33|01-01-2023
15110||771.33|01-01-2023
15111||106.49|01-01-2023
15115||744.9|01-01-2023
15116||145.79|01-01-2023
15120||752.0|01-01-2023
15121||143.68|01-01-2023
15130||659.73|01-01-2023
15131||95.48|01-01-2023
15135||831.68|01-01-2023
15136||95.48|01-01-2023
15150||686.77|01-01-2023
15151||113.05|01-01-2023
15152||148.43|01-01-2023
15155||798.56|01-01-2023
15156||154.87|01-01-2023
15157||169.21|01-01-2023
15200||736.17|01-01-2023
15201||80.99|01-01-2023
15220||672.4|01-01-2023
15221||73.15|01-01-2023
15240||878.75|01-01-2023
15241||111.93|01-01-2023
15260||932.17|01-01-2023
15261||146.01|01-01-2023
15271||88.63|01-01-2023
15272||17.49|01-01-2023
15273||206.15|01-01-2023
15274||46.8|01-01-2023
15275||98.78|01-01-2023
15276||26.25|01-01-2023
15277||236.81|01-01-2023
15278||58.55|01-01-2023
15570||797.56|01-01-2023
15572||807.84|01-01-2023
15574||804.47|01-01-2023
15576||713.07|01-01-2023
15600||239.43|01-01-2023
15610||275.27|01-01-2023
15620||365.48|01-01-2023
15630||384.06|01-01-2023
15650||448.78|01-01-2023
15730||1004.62|01-01-2023
15731||1093.96|01-01-2023
15740||923.4|01-01-2023
15760||770.35|01-01-2023
15771||558.76|01-01-2023
15772||157.95|01-01-2023
15773||551.33|01-01-2023
15774||153.56|01-01-2023
15775||274.8|01-01-2023
15776||374.88|01-01-2023
15780||736.0|01-01-2023
15781||478.65|01-01-2023
15782||412.98|01-01-2023
15783||395.45|01-01-2023
15786||147.32|01-01-2023
15787||17.8|01-01-2023
15788||244.38|01-01-2023
15789||457.15|01-01-2023
15792||238.31|01-01-2023
15793||398.01|01-01-2023
15820||576.9|01-01-2023
15821||613.39|01-01-2023
15822||447.57|01-01-2023
15823||615.59|01-01-2023
15837||789.58|01-01-2023
15839||809.65|01-01-2023
15851||70.41|01-01-2023
16000||48.2|01-01-2023
16020||61.01|01-01-2023
16025||119.24|01-01-2023
16030||140.89|01-01-2023
17000||61.62|01-01-2023
17003||2.22|01-01-2023
17004||109.31|01-01-2023
17106||305.62|01-01-2023
17107||396.5|01-01-2023
17108||576.8|01-01-2023
17110||75.9|01-01-2023
17111||92.22|01-01-2023
17250||40.95|01-01-2023
17260||78.21|01-01-2023
17261||95.54|01-01-2023
17262||121.17|01-01-2023
17263||133.67|01-01-2023
17264||142.44|01-01-2023
17266||167.47|01-01-2023
17270||104.89|01-01-2023
17271||115.73|01-01-2023
17272||132.56|01-01-2023
17273||149.64|01-01-2023
17274||182.83|01-01-2023
17276||219.65|01-01-2023
17280||95.14|01-01-2023
17281||129.58|01-01-2023
17282||149.28|01-01-2023
17283||185.41|01-01-2023
17284||216.03|01-01-2023
17286||290.8|01-01-2023
17311||382.47|01-01-2023
17312||203.75|01-01-2023
17313||342.83|01-01-2023
17314||188.4|01-01-2023
17315||54.14|01-01-2023
17340||53.81|01-01-2023
17360||101.65|01-01-2023
19000||44.89|01-01-2023
19001||21.88|01-01-2023
19020||346.2|01-01-2023
19030||80.84|01-01-2023
19081||172.63|01-01-2023
19082||86.94|01-01-2023
19083||162.36|01-01-2023
19084||81.95|01-01-2023
19085||189.51|01-01-2023
19086||95.12|01-01-2023
19100||71.61|01-01-2023
19101||242.1|01-01-2023
19105||218.45|01-01-2023
19110||387.01|01-01-2023
19112||356.2|01-01-2023
19120||452.98|01-01-2023
19125||499.3|01-01-2023
19281||104.55|01-01-2023
19282||52.72|01-01-2023
19283||105.05|01-01-2023
19284||52.57|01-01-2023
19285||89.51|01-01-2023
19286||45.0|01-01-2023
19287||133.04|01-01-2023
19288||66.9|01-01-2023
19296||220.01|01-01-2023
19298||344.12|01-01-2023
19300||479.08|01-01-2023
19350||741.2|01-01-2023
19355||678.41|01-01-2023
19396||154.03|01-01-2023
20101||223.96|01-01-2023
20102||271.44|01-01-2023
20103||372.97|01-01-2023
20200||100.94|01-01-2023
20205||163.82|01-01-2023
20206||61.61|01-01-2023
20220||93.52|01-01-2023
20225||137.47|01-01-2023
20500||98.09|01-01-2023
20501||38.67|01-01-2023
20520||163.46|01-01-2023
20525||269.81|01-01-2023
20526||60.99|01-01-2023
20527||70.99|01-01-2023
20550||41.46|01-01-2023
20551||41.46|01-01-2023
20552||39.79|01-01-2023
20553||45.48|01-01-2023
20560||15.99|01-01-2023
20561||23.91|01-01-2023
20600||37.78|01-01-2023
20604||48.83|01-01-2023
20605||39.38|01-01-2023
20606||55.22|01-01-2023
20610||48.19|01-01-2023
20611||63.6|01-01-2023
20612||44.11|01-01-2023
20615||177.81|01-01-2023
20650||180.48|01-01-2023
20665||108.68|01-01-2023
20670||161.17|01-01-2023
20680||460.15|01-01-2023
20694||380.07|01-01-2023
20900||194.64|01-01-2023
20922||537.76|01-01-2023
20950||95.39|01-01-2023
20974||55.44|01-01-2023
20979||34.05|01-01-2023
20982||385.03|01-01-2023
20983||359.21|01-01-2023
21011||291.47|01-01-2023
21013||444.78|01-01-2023
21025||727.0|01-01-2023
